team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
SOLIS;Darko;3;3;100.00;1522;507.33;5;1.67;5;1.67;3;1;9;3;19;6.33;7;2.33;4;1.33;55.56;458.39;51.39;8388;2796;6397;2132.33;1991;663.67;81;27;186;62;1946;648.67;1342;447.33;604;201.33;17;5.67;57;19;72.49;24.16;152.04;50.68;1265;421.67;1123;374.33;309;103;1595.47;1619220;539740;494.61;164.87;387.72;129.24;229.7;76.57;639.06;213.02;389.9;129.97;83.05;27.68;15.97;5.32;0.12;128;42.67;361.9;120.63;336.4;112.13;299.93;99.98;812.09;270.7;689.24;229.75;422.79;140.93;522.13;174.04;331.84;110.61;258.04;86.01;2752.86;2741.66;2777.33;3531.57;5;1.67;6;2
SOLIS;Dorca;3;3;100.00;1532;510.67;5;1.67;6;2;2;0.67;13;4.33;19;6.33;7;2.33;2;0.67;38.46;436;46.62;7714;2571.33;5844;1948;1870;623.33;67;22.33;159;53;1295;431.67;819;273;476;158.67;10;3.33;44;14.67;161.16;53.72;87.16;29.05;1363;454.33;840;280;203;67.67;1619.56;1680364;560121.31;449.78;149.93;453.44;151.15;227.84;75.95;589.27;196.42;480.89;160.3;60.9;20.3;14.27;4.76;0.1;139;46.33;390.4;130.13;336.4;112.13;324.71;108.24;806.36;268.79;713.64;237.88;417.44;139.15;537.71;179.24;341.16;113.72;252.19;84.06;2812.16;2810.66;2846.84;3548.18;6;2;0;0
BRO;Flakers.;1;0;0.00;196;196;0;0;0;0;1;1;1;1;9;9;2;2;1;1;0;354;51.45;1934;1934;1413;1413;521;521;16;16;47;47;446;446;342;342;104;104;4;4;9;9;55.11;55.11;36.53;36.53;402;402;195;195;57;57;1513;495440;495440;157.99;157.99;141.19;141.19;45.64;45.64;188.31;188.31;138.91;138.91;17.62;17.62;4.77;4.77;0.1;47;47;124.5;124.5;129.5;129.5;121.81;121.81;223.02;223.02;260.09;260.09;84.74;84.74;197.88;197.88;97.94;97.94;49;49;2649;3174;2301;3389;0;0;0;0
Hud & N8DOGGIE. & Paulie :);Hud;7;1;14.29;1848;264;1;0.14;4;0.57;9;1.29;15;2.14;72;10.29;27;3.86;7;1;6.67;446.77;45.66;18427;2632.43;12418;1774;6009;858.43;143;20.43;507;72.43;3367;481;1776;253.71;1591;227.29;20;2.86;137;19.57;347.88;49.7;127.34;18.19;1695;242.14;1920;274.29;248;35.43;1560.57;3616178;516596.84;1071.4;153.06;1084.49;154.93;347.61;49.66;1393.17;199.02;979.99;140;130.36;18.62;53.98;7.71;0.1;539;77;840.7;120.1;777.1;111.01;739.14;105.59;1764.38;252.05;1628.96;232.71;874.54;124.93;1217.04;173.86;791.34;113.05;495.15;70.74;2862.61;2762.92;2950.4;3699.87;12;1.71;9;1.29
BRO;Infamous Camper;2;0;0.00;606;303;0;0;1;0.5;3;1.5;4;2;19;9.5;8;4;3;1.5;0;423.31;47.39;4285;2142.5;3206;1603;1079;539.5;39;19.5;95;47.5;927;463.5;642;321;285;142.5;8;4;25;12.5;83.54;41.77;47.89;23.94;879;439.5;738;369;167;83.5;1540;936982;468491;354.88;177.44;230.28;115.14;127.76;63.88;409.3;204.65;250.48;125.24;53.13;26.57;12.71;6.36;0.11;109;54.5;199.8;99.9;275.2;137.6;271.14;135.57;441.78;220.89;456.77;228.39;256.15;128.07;361.09;180.54;166.11;83.06;185.73;92.86;2762.53;2577.23;2912.73;3579.21;1;0.5;0;0
NCR;LEUMYY;2;2;100.00;1042;521;5;2.5;1;0.5;1;0.5;10;5;9;4.5;2;1;2;1;50;403.72;50.9;4990;2495;3182;1591;1808;904;40;20;158;79;1198;599;563;281.5;635;317.5;8;4;55;27.5;67.1;33.55;65.34;32.67;609;304.5;799;399.5;204;102;1614.17;1060584;530292;295.13;147.57;283.19;141.6;124.91;62.46;398.26;199.13;266.49;133.24;38.49;19.25;15.4;7.7;0.1;156;78;236.1;118.05;257.8;128.9;170.11;85.06;533.12;266.56;394.68;197.34;308.55;154.27;279.04;139.52;240.63;120.32;183.56;91.78;2733.3;2617.8;2829.71;3630.77;2;1;3;1.5
Hud & N8DOGGIE. & Paulie :);N8DOGGIE.;7;1;14.29;2729;389.86;5;0.71;7;1;14;2;17;2.43;72;10.29;27;3.86;13;1.86;29.41;334.22;52.3;13945;1992.14;8171;1167.29;5774;824.86;103;14.71;511;73;3191;455.86;1617;231;1574;224.86;20;2.86;140;20;243.45;34.78;190.59;27.23;2017;288.14;2413;344.71;453;64.71;1516.52;3503806;500543.72;1213.8;173.4;949.34;135.62;333.93;47.7;1444.12;206.3;952.67;136.1;100.3;14.33;37.69;5.38;0.12;316;45.14;959.1;137.01;671;95.86;656.68;93.81;1840.38;262.91;1655.41;236.49;841.67;120.24;1272.45;181.78;713.15;101.88;511.47;73.07;2940.58;2853.26;3008.54;3688.96;7;1;11;1.57
Hud & N8DOGGIE. & Paulie :);Paulie :);7;1;14.29;2634;376.29;9;1.29;1;0.14;10;1.43;23;3.29;72;10.29;27;3.86;7;1;39.13;433.34;53.13;17719;2531.29;12156;1736.57;5563;794.71;145;20.71;498;71.14;3567;509.57;1737;248.14;1830;261.43;21;3;161;23;184.59;26.37;163.86;23.41;1979;282.71;2294;327.71;415;59.29;1619.35;3744696;534956.56;1012.37;144.62;1046.87;149.55;440.36;62.91;1296.73;185.25;1032.02;147.43;170.84;24.41;54.02;7.72;0.09;609;87;661;94.43;953.4;136.2;857.99;122.57;1641.62;234.52;1559.94;222.85;939.66;134.24;1121.04;160.15;810.9;115.84;567.67;81.1;2924.22;2680.31;3119.42;3662.46;11;1.57;11;1.57
SOLIS;Pugdih;3;3;100.00;1600;533.33;5;1.67;2;0.67;6;2;13;4.33;19;6.33;7;2.33;1;0.33;38.46;388.73;48.9;7642;2547.33;5541;1847;2101;700.33;65;21.67;189;63;1387;462.33;768;256;619;206.33;11;3.67;58;19.33;162.87;54.29;154.19;51.4;646;215.33;998;332.67;356;118.67;1551.39;1592552;530850.69;512.98;170.99;450.04;150.01;155.8;51.93;630.65;210.22;427.16;142.39;61.02;20.34;13.99;4.66;0.11;127;42.33;324.1;108.03;371.5;123.83;324.32;108.11;794.51;264.84;684.22;228.07;434.55;144.85;491.54;163.85;363.27;121.09;264.02;88.01;2864.26;2812.1;2946.66;3596.68;0;0;4;1.33
NCR;Shxde   ;2;2;100.00;694;347;1;0.5;3;1.5;3;1.5;5;2.5;9;4.5;2;1;0;0;20;404.75;53.5;5002;2501;3365;1682.5;1637;818.5;37;18.5;137;68.5;1339;669.5;790;395;549;274.5;9;4.5;49;24.5;63.41;31.7;85.46;42.73;535;267.5;290;145;36;18;1546.36;1026505;513252.5;327.95;163.98;268.43;134.21;113.48;56.74;427.56;213.78;253.48;126.74;28.81;14.41;25.3;12.65;0.13;194;97;269.8;134.9;227.3;113.65;173.5;86.75;536.35;268.17;400.62;200.31;309.24;154.62;274.37;137.18;257.37;128.68;178.12;89.06;3296;3215.2;3336.51;3833.48;0;0;1;0.5
