team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
NAV;Andy;1;0;0.00;461;461;0;0;1;1;3;3;3;3;14;14;2;2;1;1;0;367;45.12;1950;1950;1262;1262;688;688;15;15;55;55;212;212;84;84;128;128;1;1;12;12;57.92;57.92;14.92;14.92;210;210;270;270;20;20;1633;524119;524119;131.45;131.45;142;142;63.39;63.39;167.34;167.34;152.08;152.08;17.41;17.41;4.83;4.83;0.07;74;74;114.4;114.4;115.2;115.2;102.04;102.04;234.8;234.8;214.56;214.56;122.28;122.28;159.52;159.52;117.43;117.43;59.89;59.89;2963;2887;3025;3805;1;1;0;0
SYNC;Cynical;1;1;100.00;402;402;0;0;1;1;3;3;4;4;6;6;1;1;1;1;0;420;52.62;2263;2263;1638;1638;625;625;20;20;60;60;417;417;245;245;172;172;4;4;16;16;34.64;34.64;23.75;23.75;391;391;385;385;160;160;1586;510511;510511;136;136;140.18;140.18;60.61;60.61;164.9;164.9;152.6;152.6;19.29;19.29;6.89;6.89;0.11;64;64;114.5;114.5;120.9;120.9;102.51;102.51;234.29;234.29;203.9;203.9;132.9;132.9;156.98;156.98;90.05;90.05;89.76;89.76;3076;2927;3238;3774;2;2;0;0
Pugdih & Darko & Dorca;Darko;3;3;100.00;1085;361.67;2;0.67;2;0.67;4;1.33;14;4.67;25;8.33;3;1;2;0.67;14.29;470.31;56.56;7916;2638.67;5670;1890;2246;748.67;67;22.33;213;71;1902;634;1172;390.67;730;243.33;14;4.67;65;21.67;103.66;34.55;191.86;63.95;2003;667.67;1035;345;177;59;1640.69;1567481;522493.66;391.14;130.38;351.9;117.3;262.95;87.65;566.54;188.85;349.8;116.6;89.64;29.88;16.89;5.63;0.13;133;44.33;354.5;118.17;337;112.33;272.79;90.93;733.21;244.4;630.81;210.27;375.19;125.06;454.48;151.49;330.31;110.1;221.19;73.73;2920.18;2734.52;3109.38;3657.43;6;2;7;2.33
Pugdih & Darko & Dorca;Dorca;3;3;100.00;1070;356.67;2;0.67;2;0.67;3;1;9;3;25;8.33;3;1;1;0.33;22.22;391.29;40.56;6306;2102;4307;1435.67;1999;666.33;46;15.33;171;57;1072;357.33;594;198;478;159.33;6;2;42;14;253.7;84.57;43.29;14.43;914;304.67;217;72.33;3;1;1550.33;1511670;503890;450.99;150.33;376.28;125.43;198.28;66.09;506.08;168.69;455.39;151.8;64.09;21.36;16.19;5.4;0.11;155;51.67;334.7;111.57;328.5;109.5;310.43;103.48;715.12;238.37;665.49;221.83;360.05;120.02;501.22;167.07;292.63;97.54;231.7;77.23;2745.1;2612.68;2856.45;3543.97;1;0.33;1;0.33
Flakers. & Infamous Camper & Speed;Flakers.;3;3;100.00;1066;355.33;3;1;5;1.67;2;0.67;12;4;21;7;7;2.33;6;2;25;377.97;47.04;7109;2369.67;4671;1557;2438;812.67;59;19.67;212;70.67;1810;603.33;949;316.33;861;287;10;3.33;68;22.67;122.43;40.81;98.74;32.91;1168;389.33;1296;432;67;22.33;1589.07;1655529;551843;461.8;153.93;508.3;169.43;158.17;52.72;638.06;212.69;434;144.67;56.2;18.73;19.07;6.36;0.1;188;62.67;356.7;118.9;369.6;123.2;319.16;106.39;809.1;269.7;716.66;238.89;411.61;137.2;517.48;172.49;375.41;125.14;235.38;78.46;2877.53;2910.44;2841.25;3605.84;3;1;7;2.33
NAV;Halio Storn;1;0;0.00;431;431;0;0;0;0;3;3;2;2;14;14;2;2;0;0;0;429;40.73;2403;2403;1517;1517;886;886;16;16;77;77;575;575;296;296;279;279;3;3;24;24;78.39;78.39;16.57;16.57;535;535;93;93;14;14;1556;494299;494299;148.21;148.21;123.79;123.79;61.49;61.49;187.63;187.63;128.97;128.97;16.88;16.88;13.81;13.81;0.29;47;47;113.6;113.6;117.3;117.3;104.89;104.89;228.59;228.59;223.07;223.07;110.42;110.42;161.27;161.27;104.75;104.75;67.46;67.46;2651;2771;2542;3723;1;1;1;1
Paulie :) & Hud & JCISK_;Hud;3;0;0.00;1220;406.67;5;1.67;1;0.33;4;1.33;8;2.67;29;9.67;13;4.33;4;1.33;62.5;431.4;49.64;8128;2709.33;5989;1996.33;2139;713;67;22.33;194;64.67;1935;645;1237;412.33;698;232.67;14;4.67;63;21;122.68;40.89;81.89;27.3;598;199.33;735;245;119;39.67;1562.79;1643180;547726.69;502.09;167.36;487.82;162.61;148.37;49.46;619.54;206.51;449.77;149.92;68.99;23;25.02;8.34;0.1;248;82.67;415.3;138.43;326.3;108.77;334.52;111.51;803.75;267.92;746.37;248.79;391.92;130.64;544.12;181.37;381.23;127.08;212.93;70.98;3099.14;2874.42;3295.97;3877.53;5;1.67;4;1.33
Flakers. & Infamous Camper & Speed;Infamous Camper;3;3;100.00;1422;474;6;2;3;1;3;1;9;3;21;7;7;2.33;0;0;66.67;408.87;46.8;7865;2621.67;5503;1834.33;2362;787.33;67;22.33;212;70.67;1810;603.33;1026;342;784;261.33;13;4.33;70;23.33;120.77;40.26;80.08;26.69;1107;369;362;120.67;104;34.67;1596.84;1683295;561098.31;483.14;161.05;431.59;143.86;224.73;74.91;683.13;227.71;389.79;129.93;66.54;22.18;24.17;8.06;0.12;199;66.33;391.8;130.6;354.1;118.03;291.51;97.17;847.95;282.65;732.73;244.24;406.74;135.58;543.88;181.29;370.98;123.66;224.6;74.87;3016.59;2940.82;3109.6;3749.91;8;2.67;4;1.33
Paulie :) & Hud & JCISK_;JCISK_;3;0;0.00;899;299.67;2;0.67;4;1.33;1;0.33;6;2;29;9.67;13;4.33;4;1.33;33.33;357.43;54.85;6902;2300.67;4961;1653.67;1941;647;65;21.67;188;62.67;1612;537.33;863;287.67;749;249.67;13;4.33;71;23.67;77.76;25.92;132.02;44.01;811;270.33;1643;547.67;439;146.33;1542.04;1611444;537148;521.23;173.74;434.14;144.71;183.01;61;569.74;189.91;498.56;166.19;70.09;23.36;12.62;4.21;0.1;132;44;316.5;105.5;350;116.67;379.14;126.38;759.24;253.08;726.7;242.23;411.69;137.23;506.76;168.92;414.81;138.27;216.82;72.27;2981.52;2960.45;3015.47;3899.95;4;1.33;3;1
SYNC;Kdante.;1;1;100.00;515;515;2;2;0;0;1;1;7;7;6;6;1;1;0;0;28.57;451;48.16;2516;2516;1985;1985;531;531;22;22;49;49;558;558;339;339;219;219;4;4;21;21;69.12;69.12;29.96;29.96;326;326;236;236;74;74;1549;485871;485871;141.1;141.1;140.47;140.47;47.08;47.08;152.17;152.17;144.84;144.84;31.64;31.64;3.5;3.5;0.11;31;31;104.9;104.9;108.9;108.9;79.27;79.27;249.38;249.38;178;178;150.65;150.65;129.36;129.36;112.53;112.53;86.76;86.76;2870;2566;3201;3778;0;0;2;2
Paulie :) & Hud & JCISK_;Paulie :);3;0;0.00;941;313.67;0;0;2;0.67;5;1.67;7;2.33;29;9.67;13;4.33;5;1.67;0;453.07;50.89;8402;2800.67;5882;1960.67;2520;840;64;21.33;227;75.67;1904;634.67;1095;365;809;269.67;13;4.33;73;24.33;165.76;55.25;54.54;18.18;1368;456;620;206.67;232;77.33;1663.13;1746934;582311.31;427.78;142.59;472.84;157.61;237.04;79.01;578.67;192.89;516.74;172.25;42.25;14.08;25.77;8.59;0.09;302;100.67;372.7;124.23;391;130.33;384.4;128.13;753.25;251.08;744.73;248.24;392.91;130.97;527.61;175.87;377.21;125.74;232.83;77.61;2945.58;2660.65;3211.27;3871.06;5;1.67;4;1.33
Pugdih & Darko & Dorca;Pugdih;3;3;100.00;1243;414.33;3;1;1;0.33;6;2;8;2.67;25;8.33;3;1;0;0;37.5;374.99;49.22;6729;2243;4864;1621.33;1865;621.67;57;19;170;56.67;1600;533.33;1031;343.67;569;189.67;12;4;54;18;114.3;38.1;110.12;36.71;722;240.67;768;256;198;66;1529.91;1495871;498623.66;472.58;157.53;402.52;134.17;151.7;50.57;576.55;192.18;406.28;135.43;43.98;14.66;15.18;5.06;0.1;155;51.67;314.6;104.87;326.7;108.9;286.4;95.47;740.42;246.81;640.32;213.44;386.49;128.83;477.17;159.06;332.46;110.82;217.18;72.39;2799.95;2798.08;2821.01;3605.15;1;0.33;1;0.33
SYNC;SmithRL.;1;1;100.00;212;212;0;0;1;1;0;0;3;3;6;6;1;1;0;0;0;421;47.1;2324;2324;1704;1704;620;620;19;19;57;57;571;571;424;424;147;147;5;5;14;14;43.38;43.38;21.91;21.91;317;317;182;182;75;75;1639;513730;513730;121.54;121.54;150.91;150.91;55.42;55.42;200.98;200.98;116.38;116.38;10.51;10.51;8.62;8.62;0.1;83;83;119.4;119.4;102.2;102.2;87.2;87.2;240.67;240.67;191.08;191.08;136.79;136.79;142.27;142.27;101.12;101.12;84.48;84.48;2902;2841;2948;3630;0;0;3;3
Flakers. & Infamous Camper & Speed;Speed;3;3;100.00;1345;448.33;4;1.33;3;1;3;1;8;2.67;21;7;7;2.33;1;0.33;50;412.89;50.3;7988;2662.67;5350;1783.33;2638;879.33;61;20.33;242;80.67;1789;596.33;1014;338;775;258.33;13;4.33;69;23;137.47;45.82;88.5;29.5;675;225;908;302.67;316;105.33;1576.83;1662922;554307.31;494.64;164.88;482.99;161;162.95;54.32;638.74;212.91;440.07;146.69;61.79;20.6;35.42;11.81;0.08;419;139.67;346.5;115.5;349.5;116.5;291.01;97;849.57;283.19;747.68;249.23;392.91;130.97;568.14;189.38;334.79;111.6;237.66;79.22;2944.04;2661.84;3210.98;3670.95;0;0;3;1
Syntheyyyyyy & TheJuicyLeaf & [cy;Syntheyyyyyy;3;0;0.00;1042;347.33;1;0.33;0;0;6;2;6;2;31;10.33;7;2.33;1;0.33;16.67;438.59;45.8;7424;2474.67;5628;1876;1796;598.67;62;20.67;156;52;1242;414;710;236.67;532;177.33;8;2.67;46;15.33;157.29;52.43;82.21;27.4;962;320.67;589;196.33;94;31.33;1597.89;1556725;518908.34;416.74;138.91;448.17;149.39;158.86;52.95;582.42;194.14;375.41;125.14;65.95;21.98;15.44;5.15;0.14;110;36.67;353.7;117.9;326.6;108.87;297.83;99.28;725.93;241.98;638.33;212.78;385.44;128.48;475.69;158.56;330.5;110.17;217.59;72.53;2872.16;2715.08;3031.45;3679.27;3;1;2;0.67
Syntheyyyyyy & TheJuicyLeaf & [cy;TheJuicyLeaf;3;0;0.00;738;246;1;0.33;1;0.33;3;1;8;2.67;31;10.33;7;2.33;4;1.33;12.5;403.73;45.28;7142;2380.67;4743;1581;2399;799.67;54;18;217;72.33;1607;535.67;912;304;695;231.67;10;3.33;63;21;109.74;36.58;77.6;25.87;803;267.67;710;236.67;89;29.67;1529.04;1491502;497167.34;476.39;158.8;356.08;118.69;192.86;64.29;571.99;190.66;404.3;134.77;49.04;16.35;18.99;6.33;0.11;169;56.33;310.1;103.37;343.9;114.63;321.51;107.17;703.81;234.6;621.59;207.2;403.74;134.58;430.36;143.45;357.45;119.15;237.51;79.17;2941.34;2920.79;2953.44;3671.77;4;1.33;1;0.33
Syntheyyyyyy & TheJuicyLeaf & [cy;[cy;3;0;0.00;998;332.67;1;0.33;1;0.33;4;1.33;11;3.67;31;10.33;7;2.33;2;0.67;9.09;433.68;47.18;7182;2394;5325;1775;1857;619;60;20;160;53.33;1690;563.33;1185;395;505;168.33;13;4.33;44;14.67;133.23;44.41;80.14;26.71;636;212;722;240.67;112;37.33;1565.38;1507926;502642;434.98;144.99;428.12;142.71;151.6;50.53;555.37;185.12;400.38;133.46;58.94;19.65;19.58;6.53;0.1;189;63;344.5;114.83;316;105.33;310.52;103.51;704.16;234.72;626.63;208.88;388.07;129.36;463.73;154.58;327.84;109.28;223.12;74.37;2728.15;2691.77;2756.37;3627.66;2;0.67;5;1.67
NAV;cristian;1;0;0.00;288;288;1;1;0;0;1;1;1;1;14;14;2;2;1;1;100;383;48.56;2197;2197;1587;1587;610;610;20;20;48;48;329;329;100;100;229;229;1;1;12;12;32.55;32.55;44.47;44.47;255;255;349;349;0;0;1565;497217;497217;151.59;151.59;120.04;120.04;62.36;62.36;179.59;179.59;125.01;125.01;29.38;29.38;6.38;6.38;0.1;65;65;108.6;108.6;96.2;96.2;117.09;117.09;216.89;216.89;208.2;208.2;125.79;125.79;172.23;172.23;79.06;79.06;82.7;82.7;2934;2755;3117;3744;3;3;1;1
