team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
ZERO GRAVITY;0;4;3;75.00;1510;377.5;4;1;3;0.75;4;1;15;3.75;25;6.25;10;2.5;4;1;26.67;535.32;52.48;12617;3154.25;9784;2446;2833;708.25;121;30.25;260;65;3306;826.5;2534;633.5;772;193;29;7.25;74;18.5;244.09;61.02;224.89;56.22;2553;638.25;2594;648.5;421;105.25;1778.83;2360657;590164.25;427.02;106.76;571.84;142.96;433.72;108.43;668.45;167.11;663.96;165.99;100.17;25.04;25.42;6.36;0.11;235;58.75;460.9;115.23;531.5;132.88;447.82;111.95;984.78;246.19;864.41;216.1;568.18;142.04;637.76;159.44;440.95;110.24;353.88;88.47;3216.98;3022.82;3385.97;4062.29;5;1.25;4;1
NB3;A_bril584;3;0;0.00;856;285.33;2;0.67;0;0;4;1.33;2;0.67;42;14;13;4.33;1;0.33;100;401.42;43.08;7391;2463.67;4379;1459.67;3012;1004;48;16;250;83.33;1057;352.33;583;194.33;474;158;6;2;42;14;230.56;76.85;41.74;13.91;774;258;491;163.67;16;5.33;1581.25;1616054;538684.69;464.37;154.79;409.6;136.53;221.56;73.85;525.86;175.29;505.76;168.59;63.91;21.3;30.22;10.07;0.09;315;105;328.4;109.47;341.8;113.93;365.83;121.94;729.7;243.23;822.32;274.11;273.21;91.07;619.09;206.36;334.97;111.66;141.46;47.15;2911.11;2849.21;2970.88;3720.19;3;1;3;1
FearLxcid & Darko & Pugdih;Alpha reep;3;1;33.33;1317;439;3;1;4;1.33;4;1.33;8;2.67;29;9.67;9;3;3;1;37.5;388.78;50.78;7650;2550;5477;1825.67;2173;724.33;63;21;194;64.67;1696;565.33;996;332;700;233.33;11;3.67;60;20;108.34;36.11;138.34;46.11;602;200.67;773;257.67;127;42.33;1515.09;1642755;547585;563.16;187.72;438.91;146.3;157.67;52.56;654.16;218.05;436.3;145.43;69.27;23.09;19.87;6.62;0.12;176;58.67;285.3;95.1;433.3;144.43;361.65;120.55;798.09;266.03;711.61;237.2;448.11;149.37;518.5;172.83;377.16;125.72;264.08;88.03;2590.71;2268.08;2849.84;3376.46;0;0;6;2
TEAM NAV;Andy;9;6;66.67;3702;411.33;7;0.78;6;0.67;17;1.89;29;3.22;64;7.11;16;1.78;6;0.67;24.14;435.81;49.16;22851;2539;16106;1789.56;6745;749.44;185;20.56;577;64.11;4303;478.11;2535;281.67;1768;196.44;29;3.22;158;17.56;479.79;53.31;278.11;30.9;2807;311.89;2088;232;227;25.22;1600.37;4672678;519186.44;1290.14;143.35;1227.56;136.4;589.63;65.51;1662.72;184.75;1260.53;140.06;184.08;20.45;67.77;7.53;0.1;656;72.89;1001.4;111.27;985.2;109.47;820.54;91.17;2286.79;254.09;1969.06;218.78;1138.26;126.47;1454.39;161.6;1004.17;111.57;648.77;72.09;2925;2916.35;2962.41;3666.28;12;1.33;9;1
ABSOLUTE VOID;BtGhxst;9;5;55.56;3549;394.33;10;1.11;5;0.56;13;1.44;25;2.78;82;9.11;23;2.56;6;0.67;40;434.35;52.88;22953;2550.33;16591;1843.44;6362;706.89;217;24.11;543;60.33;5323;591.44;3287;365.22;2036;226.22;41;4.56;173;19.22;308.1;34.23;329.5;36.61;4153;461.44;5285;587.22;837;93;1642.68;4861509;540167.69;1200.12;133.35;1311.2;145.69;644.26;71.58;1794.27;199.36;1146.58;127.4;214.73;23.86;63.53;7.06;0.09;668;74.22;792.1;88.01;1238.7;137.63;1058.68;117.63;2096.91;232.99;1981.44;220.16;1174.17;130.46;1410.71;156.75;1090.52;121.17;654.36;72.71;2810.9;2649.8;2950.8;3675.21;10;1.11;6;0.67
TEAM NAV;Chazie.;4;3;75.00;935;233.75;2;0.5;2;0.5;5;1.25;7;1.75;31;7.75;8;2;3;0.75;28.57;442.25;45.01;10406;2601.5;7363;1840.75;3043;760.75;79;19.75;258;64.5;1689;422.25;797;199.25;892;223;9;2.25;77;19.25;263.62;65.9;120.71;30.18;1853;463.25;497;124.25;66;16.5;1626.43;2130489;532622.25;518.14;129.54;641.03;160.26;232.18;58.04;810.26;202.57;521.05;130.26;60.06;15.01;19.29;4.82;0.13;151;37.75;546.1;136.52;375.1;93.77;354.93;88.73;1036.44;259.11;918.77;229.69;472.6;118.15;674.16;168.54;467.95;116.99;249.25;62.31;3127.82;3102.23;3140.3;3728.27;3;0.75;4;1
SY;Cynical;9;4;44.44;3352;372.44;9;1;5;0.56;14;1.56;31;3.44;71;7.89;22;2.44;6;0.67;29.03;440.05;47.93;22886;2542.89;15650;1738.89;7236;804;177;19.67;667;74.11;4618;513.11;2375;263.89;2243;249.22;28;3.11;203;22.56;421.72;46.86;251.82;27.98;3263;362.56;2164;240.44;362;40.22;1646.6;4959011;551001.25;1186.27;131.81;1413.58;157.06;613.26;68.14;1622.83;180.31;1421.21;157.91;169.09;18.79;60.66;6.74;0.1;603;67;1168.9;129.88;1074.6;119.4;939.84;104.43;2273.29;252.59;2047.86;227.54;1165.24;129.47;1510.47;167.83;998.23;110.91;704.44;78.27;3072.94;2909.71;3263.36;3868.27;18;2;16;1.78
RH;DR3.;3;3;100.00;1479;493;5;1.67;1;0.33;5;1.67;9;3;22;7.33;2;0.67;0;0;55.56;422.76;54.47;7417;2472.33;5720;1906.67;1697;565.67;71;23.67;153;51;1749;583;1335;445;414;138;17;5.67;39;13;124.35;41.45;168.09;56.03;1321;440.33;1501;500.33;391;130.33;1637.77;1652808;550936;401.2;133.73;436.47;145.49;219.13;73.04;587.04;195.68;390.48;130.16;79.29;26.43;11.35;3.78;0.1;111;37;335.7;111.9;373.4;124.47;365.59;121.86;691.21;230.4;655.35;218.45;401.47;133.82;508.78;169.59;288.63;96.21;259.4;86.47;3176.03;3007.69;3369.43;3985.34;4;1.33;2;0.67
FearLxcid & Darko & Pugdih;Darko;8;4;50.00;3046;380.75;6;0.75;7;0.88;11;1.38;31;3.88;64;8;21;2.62;9;1.12;19.35;436.38;54.41;21738;2717.25;15015;1876.88;6723;840.38;175;21.88;619;77.38;4634;579.25;2937;367.12;1697;212.12;34;4.25;150;18.75;270.09;33.76;527.77;65.97;4622;577.75;3039;379.88;541;67.62;1573.19;4360527;545065.88;1332.25;166.53;1031.33;128.92;596.22;74.53;1709.31;213.66;1038.96;129.87;211.53;26.44;56.81;7.1;0.15;398;49.75;1062.2;132.78;869.5;108.69;751.8;93.97;2208;276;1895.16;236.9;1064.58;133.07;1361.52;170.19;995.62;124.45;602.65;75.33;2894.3;2877.31;2918.3;3556.08;8;1;10;1.25
RH;Duri;3;3;100.00;1147;382.33;0;0;4;1.33;5;1.67;4;1.33;22;7.33;2;0.67;2;0.67;0;376.59;52.72;6613;2204.33;4355;1451.67;2258;752.67;57;19;196;65.33;1396;465.33;545;181.67;851;283.67;9;3;70;23.33;81.96;27.32;107.22;35.74;551;183.67;900;300;179;59.67;1496.42;1499930;499976.66;506.8;168.93;400.52;133.51;140.23;46.74;582.41;194.14;393.84;131.28;71.3;23.77;29.8;9.93;0.11;261;87;360.3;120.1;319.1;106.37;305.54;101.85;742.01;247.34;670.51;223.5;377.05;125.68;498.15;166.05;333.54;111.18;215.86;71.95;2769.71;2620.58;2941.32;3905.74;5;1.67;5;1.67
FearLxcid & Darko & Pugdih;FearLxcid;8;4;50.00;3264;408;8;1;3;0.38;13;1.62;27;3.38;64;8;21;2.62;6;0.75;29.63;461.66;46.52;21859;2732.38;16065;2008.12;5794;724.25;179;22.38;479;59.88;4004;500.5;2373;296.62;1631;203.88;27;3.38;144;18;515.23;64.4;272.82;34.1;2659;332.38;1875;234.38;315;39.38;1577.25;4380116;547514.5;1285.2;160.65;1075.08;134.38;602.89;75.36;1459.91;182.49;1268.21;158.53;235.08;29.39;63.97;8;0.12;540;67.5;1060.6;132.57;928.1;116.01;760.52;95.07;2202.66;275.33;1910.09;238.76;1053.09;131.64;1425.26;178.16;933.25;116.66;604.69;75.59;2733.01;2638.11;2824.7;3507.32;7;0.88;11;1.38
BR;Flakers.;3;0;0.00;770;256.67;0;0;2;0.67;4;1.33;9;3;20;6.67;7;2.33;4;1.33;0;414.3;48.37;7058;2352.67;4923;1641;2135;711.67;61;20.33;190;63.33;1262;420.67;634;211.33;628;209.33;9;3;57;19;127;42.33;91.88;30.63;1669;556.33;1168;389.33;216;72;1640.66;1648592;549530.69;375.75;125.25;501.4;167.13;173.51;57.84;564.45;188.15;436.53;145.51;49.67;16.56;18.69;6.23;0.1;192;64;370.9;123.63;360.3;120.1;336.45;112.15;714.21;238.07;640.03;213.34;410.56;136.85;479.56;159.85;302.87;100.96;268.22;89.41;2743.59;2609.48;2878.87;3586.69;7;2.33;4;1.33
TEAM NAV;Halio Storn;5;3;60.00;2229;445.8;7;1.4;3;0.6;7;1.4;17;3.4;33;6.6;8;1.6;3;0.6;41.18;452.25;44.52;12527;2505.4;8934;1786.8;3593;718.6;101;20.2;297;59.4;2845;569;1631;326.2;1214;242.8;18;3.6;100;20;307.36;61.47;132;26.4;2129;425.8;1219;243.8;166;33.2;1554.31;2479147;495829.41;760.85;152.17;651.73;130.35;286.88;57.38;920.65;184.13;653.68;130.74;125.13;25.03;70.33;14.07;0.32;220;44;615.5;123.1;519.9;103.98;372.95;74.59;1326.51;265.3;1098.88;219.78;600.58;120.12;817.82;163.56;499.6;99.92;382.03;76.41;2938.69;2864.7;3026.47;3626.93;4;0.8;10;2
JLO;Hud;9;3;33.33;3277;364.11;12;1.33;2;0.22;12;1.33;21;2.33;88;9.78;27;3;11;1.22;57.14;402.5;50.31;21563;2395.89;14614;1623.78;6949;772.11;169;18.78;607;67.44;4057;450.78;2345;260.56;1712;190.22;28;3.11;154;17.11;331.78;36.86;241.21;26.8;2055;228.33;2443;271.44;395;43.89;1549.16;4736767;526307.44;1451.76;161.31;1354.01;150.45;448.37;49.82;1798.31;199.81;1276.56;141.84;179.23;19.91;73.87;8.21;0.1;714;79.33;1190.6;132.29;946.5;105.17;948.12;105.35;2306.01;256.22;2169.96;241.11;1084.15;120.46;1580.15;175.57;1101.25;122.36;572.7;63.63;2924.4;2839.85;3011.57;3666.44;13;1.44;13;1.44
