team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
ZERO GRAVITY;0;5;4;80.00;2510;502;10;2;5;1;4;0.8;18;3.6;36;7.2;15;3;6;1.2;55.56;485.97;45.34;14272;2854.4;10213;2042.6;4059;811.8;123;24.6;347;69.4;2742;548.4;1731;346.2;1011;202.2;21;4.2;90;18;361.97;72.39;230.69;46.14;2788;557.6;2229;445.8;381;76.2;1710.52;2879642;575928.38;629.72;125.94;768.71;153.74;431.57;86.31;932.34;186.47;771.64;154.33;126.03;25.21;26.19;5.24;0.1;248;49.6;538.6;107.72;646.5;129.3;513.06;102.61;1316.94;263.39;1166.3;233.26;663.72;132.74;865.8;173.16;565.97;113.19;398.26;79.65;2846.4;2632.79;3055.71;3689.7;13;2.6;4;0.8
NB;A_bril584;5;2;40.00;1861;372.2;6;1.2;3;0.6;7;1.4;13;2.6;56;11.2;19;3.8;7;1.4;46.15;414.14;47.4;12428;2485.6;8287;1657.4;4141;828.2;95;19;383;76.6;1844;368.8;933;186.6;911;182.2;10;2;84;16.8;325.32;65.06;68.55;13.71;979;195.8;1262;252.4;74;14.8;1657.55;2815246;563049.19;703.05;140.61;725.16;145.03;418.32;83.66;848.38;169.68;901.54;180.31;96.6;19.32;44.63;8.93;0.09;497;99.4;595.6;119.12;552.5;110.5;496.97;99.39;1349.55;269.91;1284.47;256.89;562.07;112.41;988;197.6;572.03;114.41;286.51;57.3;2936.2;2882.55;2983.01;3672.29;2;0.4;5;1
Halio Storn & Andy & Chazie.;Andy;6;4;66.67;2736;456;8;1.33;5;0.83;10;1.67;16;2.67;39;6.5;12;2;4;0.67;50;448.64;49;15561;2593.5;11100;1850;4461;743.5;134;22.33;374;62.33;3341;556.83;1886;314.33;1455;242.5;21;3.5;117;19.5;217.56;36.26;178.04;29.67;2122;353.67;2326;387.67;260;43.33;1670.38;3265260;544210;772.1;128.68;830.99;138.5;487.94;81.32;1078.43;179.74;899.99;150;112.62;18.77;33.34;5.56;0.08;432;72;694.9;115.82;660.5;110.08;591.71;98.62;1499.33;249.89;1326.64;221.11;764.4;127.4;994.27;165.71;604.61;100.77;492.17;82.03;2759.63;2655.3;2877.7;3679.22;4;0.67;10;1.67
Halio Storn & Andy & Chazie.;Chazie.;3;2;66.67;637;212.33;0;0;3;1;1;0.33;8;2.67;18;6;5;1.67;3;1;0;432.32;41.76;7330;2443.33;5000;1666.67;2330;776.67;56;18.67;200;66.67;1043;347.67;287;95.67;756;252;3;1;67;22.33;181.22;60.41;73.89;24.63;1351;450.33;653;217.67;22;7.33;1659.79;1626821;542273.69;368.38;122.79;485.4;161.8;189.61;63.2;631.05;210.35;368.49;122.83;43.84;14.61;16.03;5.34;0.12;134;44.67;451.1;150.37;287.3;95.77;266.29;88.76;777.1;259.03;650.27;216.76;393.11;131.04;470.18;156.73;378.5;126.17;194.71;64.9;3179.6;3066.14;3318.7;3780.83;9;3;3;1
CPP;DR3.;5;3;60.00;2098;419.6;4;0.8;3;0.6;10;2;15;3;35;7;10;2;4;0.8;26.67;443.62;51.48;13168;2633.6;10210;2042;2958;591.6;122;24.4;264;52.8;2453;490.6;1666;333.2;787;157.4;18;3.6;73;14.6;198.43;39.69;235.48;47.1;2516;503.2;2137;427.4;189;37.8;1607.48;2669545;533909;717.61;143.52;721.34;144.27;338.69;67.74;1013.81;202.76;667.11;133.42;96.73;19.35;28.72;5.74;0.1;285;57;638.7;127.74;583.2;116.64;545.91;109.18;1231.73;246.35;1129.6;225.92;648.05;129.61;837.09;167.42;559.03;111.81;381.53;76.31;3126.47;3026.05;3237.93;3926.63;3;0.6;7;1.4
SOLIS;Darko;6;3;50.00;2547;424.5;8;1.33;4;0.67;7;1.17;23;3.83;41;6.83;15;2.5;4;0.67;34.78;465.17;48.9;16851;2808.5;11694;1949;5157;859.5;135;22.5;461;76.83;3747;624.5;2176;362.67;1571;261.83;25;4.17;134;22.33;212.56;35.43;292.76;48.79;2987;497.83;2060;343.33;377;62.83;1615.66;3222784;537130.69;920.04;153.34;779.67;129.95;453.23;75.54;1183.1;197.18;822.12;137.02;147.7;24.62;35.93;5.99;0.13;270;45;718.6;119.77;626.7;104.45;582.46;97.08;1570.48;261.75;1286.36;214.39;866.57;144.43;928.92;154.82;700.25;116.71;523.77;87.29;2760.23;2657.1;2897.33;3522.98;4;0.67;3;0.5
SOLIS;Dorca;6;3;50.00;1945;324.17;3;0.5;6;1;6;1;21;3.5;41;6.83;15;2.5;5;0.83;14.29;418.01;42.84;14298;2383;10384;1730.67;3914;652.33;114;19;350;58.33;2921;486.83;1655;275.83;1266;211;20;3.33;113;18.83;448.43;74.74;117.08;19.51;2595;432.5;962;160.33;317;52.83;1631.53;3232573;538762.19;847.02;141.17;811.93;135.32;472.55;78.76;1038.64;173.11;968.62;161.44;124.2;20.7;30.49;5.08;0.11;280;46.67;745.6;124.27;692.3;115.38;631.54;105.26;1499.95;249.99;1294.77;215.79;836.71;139.45;942.76;157.13;679.08;113.18;509.63;84.94;2879.12;2770.39;3025.23;3569.87;9;1.5;11;1.83
CPP;Duri;5;3;60.00;2102;420.4;7;1.4;5;1;5;1;14;2.8;35;7;10;2;1;0.2;50;403.72;49.5;12097;2419.4;8671;1734.2;3426;685.2;109;21.8;310;62;2334;466.8;1281;256.2;1053;210.6;16;3.2;95;19;174.46;34.89;187.99;37.6;842;168.4;1377;275.4;187;37.4;1554.22;2564179;512835.81;799.18;159.84;703.09;140.62;267.21;53.44;990.24;198.05;651.82;130.36;127.4;25.48;48.81;9.76;0.11;439;87.8;526.6;105.32;569.3;113.86;527.55;105.51;1241.91;248.38;1109;221.8;660.46;132.09;793.8;158.76;585.12;117.02;390.57;78.11;2818.47;2843.22;2766.05;3821.01;12;2.4;10;2
ZERO GRAVITY;FallenRealms;1;1;100.00;320;320;1;1;1;1;0;0;2;2;6;6;3;3;1;1;50;363;56.93;2248;2248;1519;1519;729;729;21;21;66;66;311;311;133;133;178;178;2;2;16;16;30.07;30.07;64.62;64.62;362;362;558;558;7;7;1610;552096;552096;150.77;150.77;160.05;160.05;61.57;61.57;222.19;222.19;132.48;132.48;17.73;17.73;6.78;6.78;0.08;87;87;116.6;116.6;113;113;107.45;107.45;264.95;264.95;254.75;254.75;117.64;117.64;188.4;188.4;124.14;124.14;59.86;59.86;3359;3343;3386;3850;1;1;1;1
REVEAL;Flakers.;3;3;100.00;1178;392.67;5;1.67;3;1;2;0.67;11;3.67;19;6.33;4;1.33;0;0;45.45;375.76;49.9;6481;2160.33;4593;1531;1888;629.33;57;19;170;56.67;1147;382.33;692;230.67;455;151.67;9;3;40;13.33;138.89;46.3;99.07;33.02;1120;373.33;972;324;216;72;1566.03;1538566;512855.34;463.19;154.4;424.46;141.49;166.46;55.49;606.49;202.16;408.51;136.17;39.11;13.04;19.69;6.56;0.11;182;60.67;391.2;130.4;280.2;93.4;240.46;80.15;813.65;271.22;691.16;230.39;362.96;120.99;525.86;175.29;316.11;105.37;212.13;70.71;3087.55;3058.04;3144.13;3680.46;6;2;3;1
