team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
fxscout & insxner & Bakura;Bakura;13;8;61.54;5851;450.08;11;0.85;6;0.46;27;2.08;48;3.69;103;7.92;21;1.62;7;0.54;22.92;431.13;48.65;35770;2751.54;23975;1844.23;11795;907.31;282;21.69;1026;78.92;5965;458.85;2277;175.15;3688;283.69;27;2.08;318;24.46;638;49.08;518.37;39.87;6208;477.54;3733;287.15;365;28.08;1587.1;7514445;578034.25;2093.23;161.02;1998.37;153.72;902.69;69.44;3073.25;236.4;1692.24;130.17;228.79;17.6;121.02;9.31;0.1;1246;95.85;1680.8;129.29;1472.8;113.29;1236.71;95.13;3757.55;289.04;3193.67;245.67;1800.6;138.51;2384.58;183.43;1484.98;114.23;1124.68;86.51;2959.69;2850.66;3076.73;3854.14;36;2.77;14;1.08
PMK;ChickenisICE;5;2;40.00;2245;449;6;1.2;2;0.4;9;1.8;13;2.6;39;7.8;12;2.4;6;1.2;46.15;490.09;48.25;16297;3259.4;10232;2046.4;6065;1213;122;24.4;431;86.2;3470;694;1743;348.6;1727;345.4;21;4.2;134;26.8;319.93;63.99;225.46;45.09;2607;521.4;1941;388.2;383;76.6;1568.93;3026437;605287.38;861.87;172.37;775.13;155.03;396.98;79.4;1116.5;223.3;758.38;151.68;159.14;31.83;59.71;11.94;0.12;504;100.8;608.9;121.78;715.2;143.04;618.78;123.76;1415.22;283.04;1172.79;234.56;861.21;172.24;832.38;166.48;718.07;143.61;483.57;96.71;2966.95;2808.32;3130.94;3606.33;9;1.8;7;1.4
BLACK DRAGONS;Drag.;9;5;55.56;3382;375.78;8;0.89;5;0.56;15;1.67;22;2.44;65;7.22;21;2.33;9;1;36.36;438.85;54.17;24107;2678.56;17026;1891.78;7081;786.78;215;23.89;602;66.89;5670;630;3445;382.78;2225;247.22;42;4.67;193;21.44;377.56;41.95;237.57;26.4;4215;468.33;4509;501;769;85.44;1634.17;4940129;548903.25;1262.78;140.31;1302.15;144.68;659.05;73.23;1812.94;201.44;1236.48;137.39;174.54;19.39;66.99;7.44;0.08;820;91.11;883.6;98.18;1197.4;133.04;1057.21;117.47;2166.76;240.75;1924.2;213.8;1299.77;144.42;1389;154.33;1034.28;114.92;800.72;88.97;2701.46;2473.31;2923.17;3621.86;13;1.44;13;1.44
FALLEN ANGELS;FearLxcid;19;11;57.89;6372;335.37;9;0.47;6;0.32;33;1.74;29;1.53;166;8.74;31;1.63;10;0.53;31.03;408.41;48.61;48114;2532.32;32931;1733.21;15183;799.11;381;20.05;1242;65.37;8217;432.47;4158;218.84;4059;213.63;51;2.68;336;17.68;898.72;47.3;786.9;41.42;4823;253.84;5485;288.68;945;49.74;1522.72;10412290;548015.25;3325.88;175.05;2507.15;131.96;1320.95;69.52;3564.95;187.63;3058.04;160.95;530.93;27.94;173.08;9.11;0.12;1471;77.42;2462.2;129.59;2250.8;118.46;1889.72;99.46;5264.25;277.07;4718.78;248.36;2435.19;128.17;3568.5;187.82;2214.46;116.55;1370.99;72.16;2707.66;2644.67;2771.05;3464.68;11;0.58;23;1.21
BLACK DRAGONS;Flakers.;5;2;40.00;1519;303.8;3;0.6;3;0.6;7;1.4;12;2.4;38;7.6;14;2.8;5;1;25;395.25;45.46;11276;2255.2;7547;1509.4;3729;745.8;95;19;323;64.6;1659;331.8;701;140.2;958;191.6;9;1.8;85;17;247.93;49.59;130.68;26.14;1537;307.4;1220;244;23;4.6;1567.35;2566294;513258.81;736.97;147.39;781.68;156.34;228.32;45.66;990.64;198.13;674.64;134.93;81.68;16.34;27.35;5.47;0.09;295;59;644.8;128.96;503.1;100.62;482.17;96.43;1264.77;252.95;1162.99;232.6;583.98;116.8;867.77;173.55;547.62;109.52;331.59;66.32;2780.73;2758.71;2780.74;3531.96;3;0.6;4;0.8
NECROMANCERS;Grizz_._;4;1;25.00;1498;374.5;5;1.25;0;0;5;1.25;10;2.5;36;9;10;2.5;5;1.25;50;449.04;52.84;10397;2599.25;7143;1785.75;3254;813.5;89;22.25;273;68.25;2652;663;1718;429.5;934;233.5;22;5.5;84;21;179.51;44.88;103.19;25.8;1582;395.5;1703;425.75;408;102;1549;2088767;522191.75;626.48;156.62;573.36;143.34;226.46;56.61;824.85;206.21;527.73;131.93;73.73;18.43;21.06;5.27;0.09;220;55;433.3;108.33;454;113.5;394.17;98.54;1032.14;258.04;917.18;229.29;509.14;127.29;692.41;173.1;426.46;106.62;307.45;76.86;2681.37;2671.82;2698.95;3691.23;3;0.75;3;0.75
TEAM JELLY;Hud;5;3;60.00;1766;353.2;5;1;2;0.4;5;1;17;3.4;44;8.8;15;3;5;1;29.41;454.58;47.03;13682;2736.4;9221;1844.2;4461;892.2;104;20.8;413;82.6;2742;548.4;1510;302;1232;246.4;18;3.6;114;22.8;210.53;42.11;118.42;23.68;857;171.4;534;106.8;66;13.2;1580.79;2668508;533701.62;750.2;150.04;804.03;160.81;254.42;50.88;996.82;199.36;717.21;143.44;94.62;18.92;46.51;9.3;0.1;479;95.8;470.4;94.08;683.8;136.76;575;115;1233.67;246.73;1134.58;226.92;674.06;134.81;818.83;163.77;620.54;124.11;369.27;73.85;2961.04;2824.03;3108.81;3594.81;9;1.8;5;1
Icyissad & Just Kraze & its_BlueMoon;Icyissad;5;3;60.00;2410;482;8;1.6;5;1;6;1.2;19;3.8;41;8.2;11;2.2;5;1;42.11;460.39;50.47;13446;2689.2;9483;1896.6;3963;792.6;107;21.4;351;70.2;3110;622;1973;394.6;1137;227.4;21;4.2;97;19.4;278.07;55.61;180.99;36.2;994;198.8;1443;288.6;114;22.8;1595.33;2692739;538547.81;738.25;147.65;728.44;145.69;340.79;68.16;892.11;178.42;784.84;156.97;130.54;26.11;32.65;6.53;0.12;275;55;488.8;97.76;656;131.2;538.48;107.7;1268.99;253.8;1096.62;219.32;710.86;142.17;787.87;157.57;598.53;119.71;421.07;84.21;2865.66;2727.72;2998.98;3720.18;2;0.4;5;1
ATLAS;ItzVroomzy;5;3;60.00;1459;291.8;1;0.2;2;0.4;7;1.4;11;2.2;29;5.8;4;0.8;2;0.4;9.09;416.33;48.05;12279;2455.8;8489;1697.8;3790;758;103;20.6;310;62;2274;454.8;1072;214.4;1202;240.4;15;3;99;19.8;298.43;59.69;167.52;33.5;1826;365.2;1639;327.8;266;53.2;1602.64;2731472;546294.38;703.97;140.79;726.71;145.34;329.25;65.85;1019.64;203.93;639.31;127.86;100.97;20.19;29.94;5.99;0.11;267;53.4;551.5;110.3;569.3;113.86;489.34;97.87;1270.57;254.11;1170.8;234.16;589.13;117.83;885.87;177.17;517.29;103.46;356.77;71.35;2790.84;2716.22;2845.29;3523.48;4;0.8;3;0.6
Icyissad & Just Kraze & its_BlueMoon;Just Kraze;5;3;60.00;2017;403.4;7;1.4;2;0.4;7;1.4;13;2.6;41;8.2;11;2.2;4;0.8;53.85;411.1;47.89;11569;2313.8;7313;1462.6;4256;851.2;90;18;351;70.2;2782;556.4;1468;293.6;1314;262.8;17;3.4;109;21.8;237.88;47.58;145.99;29.2;2329;465.8;1706;341.2;261;52.2;1535.96;2576376;515275.19;840.93;168.19;716.77;143.35;239.27;47.85;1076.99;215.4;619.51;123.9;100.48;20.1;26.08;5.22;0.11;247;49.4;621;124.2;538;107.6;429.57;85.91;1367.41;273.48;1196.99;239.4;599.97;119.99;838.34;167.67;646.75;129.35;311.88;62.38;3140.99;3193.63;3098.35;3799.35;9;1.8;10;2
