team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
BJ;Aiden76_____;7;4;57.14;3213;459;14;2;3;0.43;8;1.14;26;3.71;56;8;21;3;4;0.57;53.85;419.22;46.36;17661;2523;13198;1885.43;4463;637.57;158;22.57;399;57;3174;453.43;1798;256.86;1376;196.57;20;2.86;124;17.71;422.66;60.38;197.58;28.23;2428;346.86;2492;356;177;25.29;1546.92;3698142;528306;1168.53;166.93;1059.27;151.32;371.62;53.09;1427.46;203.92;1020.41;145.77;151.55;21.65;40.72;5.82;0.14;288;41.14;577;82.43;1072.8;153.26;820.46;117.21;1778.96;254.14;1717.37;245.34;882.05;126.01;1283.93;183.42;814.02;116.29;501.46;71.64;2535.26;2364.4;2714.41;3380.5;8;1.14;9;1.29
TREE PIRATES O;Arlekeeno;7;3;42.86;2871;410.14;9;1.29;3;0.43;11;1.57;18;2.57;69;9.86;21;3;7;1;50;416.57;52.15;17601;2514.43;12532;1790.29;5069;724.14;143;20.43;435;62.14;3699;528.43;2248;321.14;1451;207.29;25;3.57;125;17.86;302.82;43.26;334.37;47.77;2278;325.43;2069;295.57;291;41.57;1545.38;3737909;533987;1142.19;163.17;979.97;140;457.57;65.37;1368.42;195.49;1088.21;155.46;123.09;17.58;58.47;8.35;0.1;577;82.43;850.1;121.44;757.7;108.24;698.29;99.76;1881.43;268.78;1696.36;242.34;883.36;126.19;1252.02;178.86;819.5;117.07;508.22;72.6;2956.09;2903.22;2968.26;3617.93;3;0.43;4;0.57
TREE PIRATES O;Barou_Shoei;3;0;0.00;833;277.67;1;0.33;1;0.33;5;1.67;5;1.67;36;12;13;4.33;3;1;20;407.65;45.47;6659;2219.67;4521;1507;2138;712.67;51;17;184;61.33;1134;378;561;187;573;191;7;2.33;45;15;92.53;30.84;80.35;26.78;669;223;602;200.67;151;50.33;1549.57;1539888;513296;457.51;152.5;465.4;155.13;141.11;47.04;610.95;203.65;405.51;135.17;47.57;15.86;21.96;7.32;0.11;200;66.67;299;99.67;373.6;124.53;349.48;116.49;714.55;238.18;757.84;252.61;306.17;102.06;586.38;195.46;303.66;101.22;173.99;58;2933.28;2738.91;3030.55;3546.2;6;2;4;1.33
HAVOC ESPORTS;Debo;5;3;60.00;1920;384;5;1;1;0.2;7;1.4;13;2.6;47;9.4;13;2.6;5;1;38.46;482.01;46.87;13372;2674.4;10545;2109;2827;565.4;115;23;251;50.2;2390;478;1649;329.8;741;148.2;17;3.4;59;11.8;310.46;62.09;128.46;25.69;1592;318.4;441;88.2;15;3;1602.37;2654640;530928;689.13;137.83;751.36;150.27;329.1;65.82;882.63;176.53;782.37;156.47;104.59;20.92;59.92;11.98;0.1;623;124.6;569.2;113.84;583.8;116.76;473.04;94.61;1296.54;259.31;1239.77;247.95;529.84;105.97;948.55;189.71;496.9;99.38;324.18;64.84;2998.88;2940.75;3060.03;3849.69;7;1.4;2;0.4
ESK;Eblockdemo89;7;6;85.71;3975;567.86;13;1.86;11;1.57;11;1.57;33;4.71;43;6.14;11;1.57;4;0.57;39.39;392.92;48.98;16743;2391.86;12001;1714.43;4742;677.43;136;19.43;428;61.14;3849;549.86;2260;322.86;1589;227;26;3.71;147;21;338.01;48.29;227.7;32.53;989;141.29;1746;249.43;408;58.29;1512.31;3559016;508430.84;1191.43;170.2;1037.46;148.21;301.42;43.06;1528.09;218.3;863.99;123.43;138.24;19.75;42.75;6.11;0.11;387;55.29;768.5;109.79;875.8;125.11;643.72;91.96;1886.59;269.51;1463.04;209.01;1067.27;152.47;1069.94;152.85;781.87;111.7;678.52;96.93;2922.21;2832.93;3012.64;3750.28;5;0.71;4;0.57
ESK;Etro;7;6;85.71;3358;479.71;11;1.57;7;1;9;1.29;31;4.43;43;6.14;11;1.57;3;0.43;35.48;408.95;46.84;17363;2480.43;11561;1651.57;5802;828.86;142;20.29;507;72.43;4011;573;1857;265.29;2154;307.71;27;3.86;190;27.14;252.13;36.02;199.92;28.56;2426;346.57;2644;377.71;855;122.14;1604.12;3782183;540311.88;1017.92;145.42;1136.35;162.34;377.67;53.95;1488.64;212.66;934.86;133.55;108.45;15.49;40.78;5.83;0.07;536;76.57;793.6;113.37;836.7;119.53;675.05;96.44;1856.91;265.27;1504.07;214.87;1027.88;146.84;1094.61;156.37;793.3;113.33;644.05;92.01;3063.81;2912.54;3222.32;3782.4;7;1;4;0.57
BJ;FlaminSkvll;7;4;57.14;2788;398.29;7;1;10;1.43;6;0.86;18;2.57;56;8;21;3;11;1.57;38.89;316.64;54.31;13665;1952.14;7847;1121;5818;831.14;104;14.86;519;74.14;2179;311.29;792;113.14;1387;198.14;12;1.71;120;17.14;144.24;20.61;230.23;32.89;723;103.29;2691;384.43;419;59.86;1482.11;3547881;506840.16;1350.19;192.88;996.85;142.41;257.16;36.74;1554.2;222.03;930.16;132.88;119.83;17.12;58.99;8.43;0.11;512;73.14;904.4;129.2;708.7;101.24;605.97;86.57;1998.24;285.46;1848.22;264.03;755.99;108;1408.76;201.25;802.2;114.6;393.24;56.18;2847.75;2786.75;2895.6;3380.77;2;0.29;7;1
RAE;Garnet-_-123;3;3;100.00;1513;504.33;4;1.33;2;0.67;4;1.33;11;3.67;26;8.67;7;2.33;5;1.67;36.36;427.59;48.06;8536;2845.33;6058;2019.33;2478;826;73;24.33;214;71.33;1490;496.67;841;280.33;649;216.33;10;3.33;56;18.67;107.87;35.96;162.55;54.18;1013;337.67;1202;400.67;159;53;1636.44;1830269;610089.69;468.25;156.08;513.77;171.26;217.87;72.62;697.42;232.47;441.15;147.05;61.31;20.44;25.28;8.43;0.08;322;107.33;362.1;120.7;390.5;130.17;306.29;102.1;893.6;297.87;795.24;265.08;404.65;134.88;580.48;193.49;398.59;132.86;220.81;73.6;2602.82;2431.29;2760.32;3726.66;2;0.67;4;1.33
NCN;Ghostyloves69;10;4;40.00;2401;240.1;3;0.3;9;0.9;6;0.6;23;2.3;66;6.6;25;2.5;7;0.7;13.04;336.39;49.35;20192;2019.2;13006;1300.6;7186;718.6;161;16.1;629;62.9;5216;521.6;2688;268.8;2528;252.8;35;3.5;229;22.9;347.61;34.76;373.12;37.31;1937;193.7;3065;306.5;880;88;1503.72;4988830;498883;1720.26;172.03;1384.94;138.49;434.29;43.43;2139.46;213.95;1282.03;128.2;118.02;11.8;50.46;5.05;0.11;458;45.8;996.1;99.61;1155.2;115.52;1099.14;109.91;2440.39;244.04;1988.12;198.81;1551.41;155.14;1434.79;143.48;1103.43;110.34;1001.29;100.13;2814.69;2787.09;2843.87;3812.06;8;0.8;10;1
LRX;Icyissad;5;3;60.00;2123;424.6;6;1.2;3;0.6;7;1.4;19;3.8;34;6.8;13;2.6;3;0.6;31.58;412.4;50.59;11283;2256.6;8322;1664.4;2961;592.2;98;19.6;261;52.2;2550;510;1649;329.8;901;180.2;19;3.8;77;15.4;250.49;50.1;171.15;34.23;843;168.6;1570;314;298;59.6;1556.42;2462950;492590;755.05;151.01;658.55;131.71;272.95;54.59;872.97;174.59;701.76;140.35;111.84;22.37;23.03;4.61;0.12;203;40.6;473.3;94.66;601.1;120.22;486.25;97.25;1200.3;240.06;1039.69;207.94;646.85;129.37;763.38;152.68;519.51;103.9;403.67;80.73;2606.81;2467.28;2748.54;3579.3;4;0.8;2;0.4
