team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
ACID NINJAS;Ahsoka Tano;8;6;75.00;4293;536.62;13;1.62;12;1.5;12;1.5;32;4;46;5.75;15;1.88;8;1;40.62;462.86;48.06;24472;3059;18718;2339.75;5754;719.25;214;26.75;475;59.38;3834;479.25;2286;285.75;1548;193.5;24;3;132;16.5;485.55;60.69;435.41;54.43;2850;356.25;2550;318.75;133;16.62;1600.03;4636228;579528.5;1273.23;159.15;1317.59;164.7;537.76;67.22;1642.55;205.32;1285.82;160.73;200.24;25.03;40.38;5.05;0.14;275;34.38;1127.1;140.89;858.3;107.29;716.11;89.51;2412.45;301.56;2015.26;251.91;1113.31;139.16;1521.29;190.16;941.47;117.68;665.83;83.23;2948.26;2804.51;3112.38;3756.02;8;1;7;0.88
BJ;Aiden76_____;1;0;0.00;364;364;0;0;1;1;2;2;2;2;7;7;4;4;2;2;0;472;53.58;2894;2894;2358;2358;536;536;27;27;51;51;445;445;287;287;158;158;3;3;15;15;54.43;54.43;29.58;29.58;375;375;392;392;20;20;1584;524867;524867;152.91;152.91;145.36;145.36;59;59;178.14;178.14;153.93;153.93;25.2;25.2;7.27;7.27;0.13;54;54;116.3;116.3;118.2;118.2;105.76;105.76;251.51;251.51;241.45;241.45;115.82;115.82;181.94;181.94;110.64;110.64;64.69;64.69;2626;2564;2676;3522;1;1;2;2
ONYX;AyJake;12;6;50.00;4134;344.5;12;1;6;0.5;15;1.25;25;2.08;101;8.42;38;3.17;10;0.83;48;496.75;48.84;35413;2951.08;26451;2204.25;8962;746.83;294;24.5;725;60.42;7892;657.67;5020;418.33;2872;239.33;56;4.67;235;19.58;685.69;57.14;301.33;25.11;5927;493.92;3042;253.5;589;49.08;1639.86;6683724;556977;1647.13;137.26;1785.26;148.77;943.32;78.61;2453.02;204.42;1739.51;144.96;183.19;15.27;66.86;5.57;0.12;550;45.83;1294.9;107.91;1516.8;126.4;1304.47;108.71;3071.24;255.94;2813.12;234.43;1562.58;130.22;2107.44;175.62;1339.2;111.6;929.08;77.42;3087.4;2937.13;3202.26;3856.03;19;1.58;17;1.42
NECRO BLOODLUST;Classy;5;2;40.00;2151;430.2;7;1.4;3;0.6;7;1.4;12;2.4;45;9;13;2.6;4;0.8;58.33;374.84;52.24;11000;2200;7809;1561.8;3191;638.2;100;20;285;57;2817;563.4;1715;343;1102;220.4;24;4.8;99;19.8;193.86;38.77;153.99;30.8;1052;210.4;2139;427.8;610;122;1515.28;2492279;498455.81;814.25;162.85;723.18;144.64;217.52;43.5;970.92;194.18;700.81;140.16;83.25;16.65;38.22;7.64;0.11;358;71.6;523.8;104.76;621;124.2;539.74;107.95;1215.24;243.05;1062.14;212.43;692.83;138.57;759.19;151.84;568.33;113.67;427.46;85.49;2735.75;2590.17;2857.95;3513.5;5;1;6;1.2
BJ;Cokilla.;5;0;0.00;1162;232.4;2;0.4;0;0;5;1;6;1.2;43;8.6;19;3.8;7;1.4;33.33;396.45;46.13;11346;2269.2;8073;1614.6;3273;654.6;90;18;278;55.6;2202;440.4;1394;278.8;808;161.6;16;3.2;70;14;241.03;48.21;105.16;21.03;923;184.6;924;184.8;120;24;1475.4;2400028;480005.59;873.27;174.65;673.23;134.65;188.09;37.62;989.34;197.87;638.4;127.68;106.87;21.37;32.6;6.52;0.1;320;64;595.1;119.02;518.4;103.68;533.67;106.73;1200.94;240.19;1212.28;242.46;522.32;104.46;907.08;181.42;528.5;105.7;299.02;59.8;2897.04;2780.16;2987.39;3412.96;8;1.6;3;0.6
BJ;Demo (basically peter parker);2;0;0.00;374;187;0;0;0;0;4;2;0;0;21;10.5;8;4;2;1;0;191.17;41.39;2133;1066.5;1260;630;873;436.5;15;7.5;66;33;346;173;101;50.5;245;122.5;2;1;14;7;50.85;25.42;20.23;10.11;120;60;263;131.5;101;50.5;771.43;492844;246422;171.97;85.99;132.57;66.29;53.67;26.83;181.34;90.67;157.6;78.8;19.27;9.64;6.38;3.19;0.05;56;28;128.6;64.3;100.8;50.4;103.68;51.84;254.53;127.26;258.55;129.27;99.66;49.83;205.52;102.76;102.19;51.1;50.5;25.25;3077.44;1370.91;1603.64;3423.7;1;0.5;1;0.5
ESK;Eblockdemo89;5;3;60.00;1949;389.8;6;1.2;6;1.2;3;0.6;10;2;27;5.4;11;2.2;5;1;60;403.14;49.8;12592;2518.4;9254;1850.8;3338;667.6;107;21.4;279;55.8;2213;442.6;1270;254;943;188.6;15;3;79;15.8;259.56;51.91;171.82;34.36;604;120.8;1398;279.6;169;33.8;1469.73;2534376;506875.19;908;181.6;774.68;154.94;179.72;35.94;1079.58;215.92;678.95;135.79;103.89;20.78;30.23;6.05;0.11;266;53.2;577.8;115.56;562.5;112.5;529.51;105.9;1332.91;266.58;1184.3;236.86;678.13;135.63;874.01;174.8;586.67;117.33;401.74;80.35;2877.25;2798.96;2957.02;3706.21;4;0.8;7;1.4
ESK;Etro;14;8;57.14;6678;477;22;1.57;12;0.86;19;1.36;52;3.71;99;7.07;33;2.36;13;0.93;42.31;421.78;47.05;36087;2577.64;23882;1705.86;12205;871.79;288;20.57;1034;73.86;10182;727.29;5710;407.86;4472;319.43;70;5;384;27.43;543.12;38.79;343.67;24.55;5438;388.43;4671;333.64;1319;94.21;1593.41;7534856;538204;2096.4;149.74;2134.38;152.46;847.69;60.55;2870.48;205.03;1934.49;138.18;273.54;19.54;89.41;6.39;0.07;1178;84.14;1558.1;111.29;1782;127.29;1421.52;101.54;3656.98;261.21;3044.74;217.48;2033.74;145.27;2183.28;155.95;1660.67;118.62;1234.56;88.18;3003.66;2826.65;3190.4;3772.98;26;1.86;15;1.07
BJ;FlaminSkvll;5;0;0.00;1200;240;0;0;2;0.4;8;1.6;10;2;43;8.6;19;3.8;6;1.2;0;333.27;51.19;9799;1959.8;6105;1221;3694;738.8;77;15.4;324;64.8;1484;296.8;315;63;1169;233.8;4;0.8;96;19.2;100.96;20.19;145.55;29.11;472;94.4;1626;325.2;98;19.6;1542.34;2516836;503367.19;788.94;157.79;732.39;146.48;213.74;42.75;950.89;190.18;681.98;136.4;102.19;20.44;44.58;8.92;0.11;387;77.4;537.2;107.44;541.3;108.26;543.9;108.78;1191.16;238.23;1185.01;237;550.05;110.01;867.95;173.59;573.14;114.63;293.98;58.8;2851.45;2696.99;2964.94;3507.06;2;0.4;3;0.6
NCN;Ghostyloves69;6;3;50.00;2047;341.17;5;0.83;3;0.5;8;1.33;16;2.67;54;9;15;2.5;3;0.5;31.25;379.12;45.74;14057;2342.83;8937;1489.5;5120;853.33;108;18;423;70.5;3561;593.5;1742;290.33;1819;303.17;23;3.83;149;24.83;252.63;42.1;218.02;36.34;2007;334.5;1573;262.17;411;68.5;1520.17;3092371;515395.16;1027.96;171.33;842.64;140.44;301.66;50.28;1386.71;231.12;732.41;122.07;53.18;8.86;34.37;5.73;0.12;290;48.33;650.5;108.42;674.6;112.43;620.08;103.35;1552.21;258.7;1316.84;219.47;855.42;142.57;999.17;166.53;664.79;110.8;508.34;84.72;2772.5;2684.08;2851.58;3685.05;5;0.83;9;1.5
