team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
BLACK JACKETS;Aiden76_____;4;1;25.00;1338;334.5;4;1;0;0;3;0.75;11;2.75;40;10;17;4.25;4;1;36.36;468.06;52.66;10915;2728.75;8658;2164.5;2257;564.25;108;27;201;50.25;2121;530.25;1359;339.75;762;190.5;16;4;62;15.5;227.58;56.89;121.89;30.47;1748;437;1816;454;267;66.75;1600.44;2133354;533338.5;584.86;146.21;589.86;147.46;261.37;65.34;749.22;187.3;592.76;148.19;94.1;23.53;21.34;5.34;0.11;186;46.5;425.2;106.3;516.4;129.1;446.36;111.59;989.74;247.43;936.46;234.11;499.63;124.91;728.13;182.03;397.84;99.46;310.12;77.53;2713.13;2475.64;2903.7;3666.86;5;1.25;5;1.25
ONYX;AyJake;9;3;33.33;3786;420.67;8;0.89;7;0.78;14;1.56;29;3.22;86;9.56;26;2.89;8;0.89;27.59;436.87;48.38;24963;2773.67;18866;2096.22;6097;677.44;214;23.78;542;60.22;6244;693.78;4319;479.89;1925;213.89;48;5.33;172;19.11;454.91;50.55;256.32;28.48;3639;404.33;2570;285.56;497;55.22;1560.19;5131054;570117.12;1541.74;171.3;1345.71;149.52;616.6;68.51;2066.76;229.64;1309.72;145.52;127.58;14.18;56.97;6.33;0.13;431;47.89;929.3;103.26;1303.8;144.87;1071.43;119.05;2432.62;270.29;2260.7;251.19;1243.34;138.15;1705.64;189.52;1050.95;116.77;747.46;83.05;2993.66;2869.18;3114.76;3863.25;12;1.33;15;1.67
BLACK JACKETS;Cokilla.;2;0;0.00;917;458.5;1;0.5;0;0;8;4;4;2;24;12;8;4;2;1;25;460.57;48.91;4991;2495.5;3361;1680.5;1630;815;38;19;134;67;961;480.5;495;247.5;466;233;5;2.5;40;20;117.63;58.81;60.42;30.21;467;233.5;484;242;7;3.5;1488.51;956540;478270;315.57;157.79;299.85;149.93;68.96;34.48;414.69;207.35;239.08;119.54;30.61;15.31;13.02;6.51;0.09;142;71;230.1;115.05;230.4;115.2;195.55;97.77;488.82;244.41;452.1;226.05;232.29;116.15;341.96;170.98;205.76;102.88;136.67;68.33;2927.71;2733.79;3078.31;3724.85;3;1.5;5;2.5
ABSOLUTE ECLIPSE;DragonKami;1;1;100.00;236;236;0;0;1;1;1;1;3;3;4;4;0;0;0;0;0;372;53.51;2103;2103;1459;1459;644;644;18;18;57;57;431;431;276;276;155;155;3;3;14;14;42.87;42.87;35.22;35.22;91;91;292;292;37;37;1513;479986;479986;153.66;153.66;154.17;154.17;26.66;26.66;187.46;187.46;125.32;125.32;21.7;21.7;4.72;4.72;0.11;43;43;108;108;105.4;105.4;87.94;87.94;246.55;246.55;203.25;203.25;131.24;131.24;140.96;140.96;113.54;113.54;79.99;79.99;2641;2644;2661;3657;1;1;0;0
ESK;Eblockdemo89;7;1;14.29;2232;318.86;2;0.29;4;0.57;11;1.57;17;2.43;75;10.71;25;3.57;12;1.71;11.76;355.61;48.64;16391;2341.57;10957;1565.29;5434;776.29;130;18.57;462;66;2471;353;1109;158.43;1362;194.57;14;2;115;16.43;339.41;48.49;212;30.29;695;99.29;2043;291.86;309;44.14;1449.69;3578427;511203.84;1344.98;192.14;1057.38;151.05;246.69;35.24;1625.7;232.24;866.62;123.8;156.72;22.39;43.79;6.26;0.12;386;55.14;902.7;128.96;829.3;118.47;785.73;112.25;1863.33;266.19;1765.69;252.24;883.34;126.19;1334.45;190.64;800.5;114.36;514.1;73.44;2851.15;2825.57;2886.43;3571.58;2;0.29;13;1.86
ESK;Etro;7;1;14.29;3399;485.57;7;1;5;0.71;16;2.29;20;2.86;75;10.71;25;3.57;6;0.86;35;395.51;45.99;17643;2520.43;11876;1696.57;5767;823.86;141;20.14;507;72.43;4154;593.43;2352;336;1802;257.43;27;3.86;160;22.86;284.93;40.7;177.84;25.41;2540;362.86;2346;335.14;375;53.57;1529.94;3809950;544278.56;1216.45;173.78;1077.08;153.87;378.39;54.06;1465.76;209.39;1070.94;152.99;135.25;19.32;35.59;5.08;0.07;490;70;905.8;129.4;835.5;119.36;796.1;113.73;1875.86;267.98;1791.23;255.89;880.73;125.82;1382.62;197.52;773.27;110.47;516.04;73.72;2901.21;2813.52;2977.53;3589.8;10;1.43;7;1
BLACK JACKETS;FlaminSkvll;4;1;25.00;1118;279.5;2;0.5;2;0.5;3;0.75;7;1.75;40;10;17;4.25;9;2.25;28.57;307.04;49.22;7224;1806;3744;936;3480;870;46;11.5;292;73;1148;287;380;95;768;192;4;1;65;16.25;94.51;23.63;107.9;26.98;293;73.25;740;185;23;5.75;1460.56;1949835;487458.75;769.67;192.42;533.44;133.36;135.63;33.91;835.76;208.94;531.72;132.93;71.26;17.82;40.57;10.14;0.12;353;88.25;486.2;121.55;405.9;101.48;376.31;94.08;1062.43;265.61;988.93;247.23;449.81;112.45;748.51;187.13;435.61;108.9;254.62;63.65;2809.46;2900.39;2730.01;3550.29;3;0.75;3;0.75
ROYAL ASCENT;Garnet-_-123;4;1;25.00;1632;408;4;1;2;0.5;7;1.75;12;3;35;8.75;12;3;5;1.25;33.33;382.12;48.99;9049;2262.25;5851;1462.75;3198;799.5;74;18.5;204;51;2177;544.25;984;246;1193;298.25;11;2.75;66;16.5;171.64;42.91;223.28;55.82;981;245.25;1361;340.25;119;29.75;1503.84;2021527;505381.75;686.89;171.72;548.95;137.24;187.68;46.92;823.87;205.97;526.29;131.57;73.34;18.33;34.32;8.58;0.09;367;91.75;466.6;116.65;427.4;106.85;353.23;88.31;1070.29;267.57;971.7;242.93;451.82;112.96;711.26;177.82;474.05;118.51;238.22;59.56;2530.61;2349.99;2656.95;3705.94;1;0.25;1;0.25
NCN;Ghostyloves69;9;5;55.56;3737;415.22;10;1.11;5;0.56;15;1.67;37;4.11;67;7.44;24;2.67;6;0.67;27.03;376.19;48.45;22919;2546.56;15546;1727.33;7373;819.22;191;21.22;656;72.89;4947;549.67;2350;261.11;2597;288.56;30;3.33;236;26.22;366.04;40.67;443.66;49.3;2394;266;3264;362.67;550;61.11;1530.22;5373832;597092.44;1732.44;192.49;1508.68;167.63;502.64;55.85;2271.35;252.37;1319.46;146.61;152.92;16.99;42.55;4.73;0.11;373;41.44;1111;123.44;1177.4;130.82;1104.97;122.77;2638.78;293.2;2172.62;241.4;1571.11;174.57;1551.02;172.34;1219.66;135.52;973.08;108.12;2880.61;2813.33;2966.6;3816.96;12;1.33;8;0.89
ROYAL ASCENT;GladeOG;4;1;25.00;920;230;3;0.75;0;0;2;0.5;5;1.25;35;8.75;12;3;3;0.75;60;353.7;49.32;8419;2104.75;5286;1321.5;3133;783.25;63;15.75;230;57.5;1290;322.5;464;116;826;206.5;5;1.25;70;17.5;131.1;32.78;265.73;66.43;1268;317;1098;274.5;53;13.25;1477.7;1966418;491604.5;718.84;179.71;535.82;133.96;163.4;40.85;907.74;226.93;435.98;109;74.33;18.58;16.08;4.02;0.11;148;37;467.7;116.93;449;112.25;438.27;109.57;979.79;244.95;914.19;228.55;503.86;125.96;668.1;167.02;463.23;115.81;286.72;71.68;2944.61;2880.03;2993.06;3746.36;0;0;3;0.75
