team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
TPO;Arlekeeno;3;0;0.00;715;238.33;0;0;0;0;3;1;4;1.33;27;9;9;3;5;1.67;0;359.94;49.4;6397;2132.33;4460;1486.67;1937;645.67;51;17;177;59;1457;485.67;952;317.33;505;168.33;12;4;48;16;126.95;42.32;111.24;37.08;684;228;759;253;299;99.67;1504.36;1468373;489457.66;507.65;169.22;377.38;125.79;150.44;50.15;565.83;188.61;424.67;141.56;44.98;14.99;16.49;5.5;0.09;181;60.33;375.4;125.13;290.3;96.77;310.75;103.58;724.72;241.57;710.32;236.77;325.16;108.39;565.31;188.44;279.8;93.27;190.36;63.45;2837.52;2713.07;2936.21;3537.5;2;0.67;1;0.33
VOIDED;AyJake;3;0;0.00;934;311.33;0;0;2;0.67;5;1.67;7;2.33;27;9;10;3.33;2;0.67;0;387.07;54.4;6407;2135.67;4974;1658;1433;477.67;66;22;128;42.67;1303;434.33;913;304.33;390;130;11;3.67;40;13.33;104.56;34.85;112.35;37.45;1001;333.67;1503;501;214;71.33;1500.09;1439829;479943;504.8;168.27;378;126;139.95;46.65;624.41;208.14;365.95;121.98;32.37;10.79;14.46;4.82;0.14;107;35.67;398.9;132.97;282.3;94.1;257.26;85.75;765.47;255.16;697.32;232.44;325.42;108.47;540.02;180.01;300.82;100.27;181.9;60.63;2924.36;2881.89;2938.76;3739.28;4;1.33;5;1.67
TPO;Barou_Shoei;12;4;33.33;4330;360.83;9;0.75;5;0.42;28;2.33;20;1.67;104;8.67;33;2.75;14;1.17;45;394.13;45.2;26250;2187.5;18054;1504.5;8196;683;205;17.08;704;58.67;4871;405.92;2961;246.75;1910;159.17;37;3.08;172;14.33;578.1;48.18;336.56;28.05;2620;218.33;2629;219.08;763;63.58;1530.36;6037278;503106.5;1927.34;160.61;1746.59;145.55;539.39;44.95;2534.88;211.24;1566.69;130.56;111.76;9.31;92.38;7.7;0.12;785;65.42;1385.7;115.47;1343.9;111.99;1253.25;104.44;2960.14;246.68;2793.78;232.82;1419.55;118.3;2133.82;177.82;1268.42;105.7;811.1;67.59;3060.41;3000;3095.86;3737.88;14;1.17;10;0.83
NCB;Classy;4;1;25.00;1118;279.5;2;0.5;0;0;5;1.25;9;2.25;33;8.25;12;3;4;1;22.22;326.72;47.91;7873;1968.25;5189;1297.25;2684;671;62;15.5;228;57;1969;492.25;1226;306.5;743;185.75;14;3.5;66;16.5;150.52;37.63;131.98;32.99;809;202.25;992;248;182;45.5;1466.78;1974615;493653.75;737.4;184.35;534.97;133.74;150.49;37.62;835.61;208.9;519.21;129.8;68.04;17.01;30.47;7.62;0.13;228;57;504.4;126.1;452.6;113.15;463.55;115.89;959.32;239.83;947.25;236.81;475.6;118.9;708.61;177.15;434.31;108.58;279.94;69.99;2813.42;2800.12;2813.01;3561.88;5;1.25;8;2
ATOMIC GEESE;Debo;8;2;25.00;2579;322.38;3;0.38;1;0.12;15;1.88;17;2.12;79;9.88;18;2.25;3;0.38;17.65;454.59;44.84;21274;2659.25;15805;1975.62;5469;683.62;174;21.75;482;60.25;3373;421.62;1935;241.88;1438;179.75;22;2.75;133;16.62;555.54;69.44;225.97;28.25;2755;344.38;1544;193;270;33.75;1561.94;4210130;526266.25;1177.65;147.21;1209.3;151.16;441.31;55.16;1498.75;187.34;1160.72;145.09;168.78;21.1;58.71;7.34;0.08;712;89;933.4;116.68;954.7;119.34;824.35;103.04;2003.9;250.49;1918.51;239.81;909.73;113.72;1480.98;185.12;846.19;105.77;501.07;62.63;2910.39;2790.52;2996.13;3663.2;10;1.25;6;0.75
ESK;Eblockdemo89;9;5;55.56;2812;312.44;6;0.67;5;0.56;10;1.11;28;3.11;55;6.11;18;2;3;0.33;21.43;379.91;49.73;20273;2252.56;14766;1640.67;5507;611.89;175;19.44;488;54.22;3913;434.78;2094;232.67;1819;202.11;27;3;166;18.44;453.57;50.4;230.97;25.66;1223;135.89;2736;304;632;70.22;1465.23;4335302;481700.22;1561.52;173.5;1273.46;141.5;299.74;33.3;1841.92;204.66;1105.16;122.8;187.67;20.85;50.97;5.66;0.12;439;48.78;967.5;107.5;1034.8;114.98;907.48;100.83;2227.25;247.47;1888.6;209.84;1246.14;138.46;1359.2;151.02;1017.13;113.01;758.4;84.27;2843.02;2758.79;2914.27;3601.69;3;0.33;9;1
ESK;Etro;9;5;55.56;3283;364.78;7;0.78;7;0.78;9;1;28;3.11;55;6.11;18;2;5;0.56;25;392.17;45.09;19852;2205.78;12492;1388;7360;817.78;148;16.44;640;71.11;5124;569.33;2737;304.11;2387;265.22;34;3.78;211;23.44;407.83;45.31;207.03;23;2539;282.11;2322;258;561;62.33;1574.43;4655162;517240.22;1299.57;144.4;1374.43;152.71;463.13;51.46;1786.67;198.52;1214.19;134.91;136.25;15.14;59.57;6.62;0.08;753;83.67;1087.2;120.8;987.9;109.77;829.85;92.21;2307.29;256.37;1934.75;214.97;1202.37;133.6;1402.8;155.87;1025.09;113.9;709.23;78.8;3021.95;2911.18;3162.64;3690.06;4;0.44;8;0.89
NCN;Ghostyloves69;8;6;75.00;2234;279.25;1;0.12;6;0.75;13;1.62;10;1.25;59;7.38;16;2;8;1;10;360.18;51.46;16921;2115.12;11307;1413.38;5614;701.75;144;18;501;62.62;4253;531.62;2206;275.75;2047;255.88;27;3.38;178;22.25;229.23;28.65;355.32;44.42;1159;144.88;2833;354.12;322;40.25;1501.61;3923074;490384.25;1315.56;164.44;1098.5;137.31;360.09;45.01;1683.56;210.45;983.78;122.97;106.82;13.35;42.61;5.33;0.14;315;39.38;902;112.75;860.6;107.57;829.73;103.72;1944.43;243.05;1719.27;214.91;1054.89;131.86;1278.54;159.82;871.5;108.94;624.12;78.01;2902.66;2848.33;2961.03;3845.41;8;1;14;1.75
NCN;Glint;8;6;75.00;3030;378.75;9;1.12;4;0.5;11;1.38;23;2.88;59;7.38;16;2;4;0.5;39.13;371.37;50.08;17537;2192.12;12990;1623.75;4547;568.38;161;20.12;407;50.88;3362;420.25;2129;266.12;1233;154.12;25;3.12;111;13.88;341;42.62;289.15;36.14;1903;237.88;2946;368.25;288;36;1555.93;4099369;512421.12;1212.97;151.62;1214.19;151.77;372.19;46.52;1510.86;188.86;1139.54;142.44;148.93;18.62;69.38;8.67;0.12;578;72.25;1039.4;129.93;888.1;111.01;816.01;102;1983.33;247.92;1826.83;228.35;972.49;121.56;1373.42;171.68;832.81;104.1;593.1;74.14;3468.22;3350.14;3551.9;4098.3;5;0.62;6;0.75
ABSOLUTE ECLIPSE;Jerry_Da_Man;2;1;50.00;729;364.5;3;1.5;0;0;1;0.5;3;1.5;11;5.5;4;2;0;0;100;373.53;51.62;4453;2226.5;2291;1145.5;2162;1081;26;13;177;88.5;897;448.5;166;83;731;365.5;2;1;52;26;81.21;40.6;47.12;23.56;470;235;275;137.5;59;29.5;1435.63;963715;481857.5;349.86;174.93;287.53;143.76;72.04;36.02;438.59;219.3;251.79;125.9;19.04;9.52;16.25;8.12;0.12;135;67.5;249.1;124.55;221.1;110.55;197.73;98.86;511.7;255.85;446.71;223.36;262.72;131.36;333.73;166.87;222.39;111.19;153.3;76.65;2707.71;2712.41;2748.68;3725.83;1;0.5;0;0
