team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
BLACK JACKETS;Aiden76_____;3;0;0.00;768;256;1;0.33;0;0;3;1;4;1.33;37;12.33;12;4;3;1;25;427.66;48.28;7952;2650.67;4951;1650.33;3001;1000.33;63;21;184;61.33;1848;616;927;309;921;307;11;3.67;49;16.33;167.97;55.99;68.9;22.97;978;326;899;299.67;92;30.67;1542.56;1624365;541455;465;155;479.92;159.97;171.13;57.04;612;204;426.43;142.14;77.61;25.87;14.42;4.81;0.12;116;38.67;341.9;113.97;346.9;115.63;321.42;107.14;794.64;264.88;800.19;266.73;315.85;105.28;622.54;207.51;311.27;103.76;182.24;60.75;2493.24;2259.49;2683.66;3523.41;3;1;3;1
BOOST STEALERS;Atom Was Here;6;0;0.00;1791;298.5;2;0.33;2;0.33;8;1.33;11;1.83;64;10.67;19;3.17;6;1;18.18;372.77;46.91;14352;2392;9313;1552.17;5039;839.83;112;18.67;449;74.83;3047;507.83;1846;307.67;1201;200.17;24;4;109;18.17;264.88;44.15;294.3;49.05;2239;373.17;1905;317.5;584;97.33;1501.65;3295032;549172;1119.25;186.54;875.91;145.99;315.03;52.51;1320.89;220.15;905.06;150.84;84.26;14.04;40.96;6.83;0.1;402;67;693.8;115.63;741.1;123.52;743.38;123.9;1566.83;261.14;1638.21;273.04;672.02;112;1221.44;203.57;727.94;121.32;360.84;60.14;2703.77;2585.04;2801.39;3451.38;5;0.83;11;1.83
ONYX;Barou_Shoei;3;3;100.00;1234;411.33;4;1.33;3;1;2;0.67;10;3.33;19;6.33;5;1.67;4;1.33;40;364.4;48.33;6685;2228.33;4959;1653;1726;575.33;59;19.67;153;51;1057;352.33;694;231.33;363;121;9;3;35;11.67;123.32;41.11;159.9;53.3;418;139.33;898;299.33;232;77.33;1467.73;1513224;504408;579.47;193.16;437.12;145.71;107.58;35.86;691.32;230.44;383.28;127.76;49.56;16.52;20.27;6.76;0.11;178;59.33;378.7;126.23;334.1;111.37;278.29;92.76;845.87;281.96;721.77;240.59;402.4;134.13;539.81;179.94;356.43;118.81;227.92;75.97;3161.18;3202.29;3119.82;3730.65;2;0.67;2;0.67
BLACK JACKETS;Cokilla.;7;2;28.57;2749;392.71;1;0.14;5;0.71;23;3.29;9;1.29;95;13.57;24;3.43;9;1.29;11.11;420.93;49.75;20032;2861.71;13358;1908.29;6674;953.43;158;22.57;461;65.86;3414;487.71;1434;204.86;1980;282.86;17;2.43;133;19;455.88;65.13;189.69;27.1;1882;268.86;1577;225.29;187;26.71;1496.84;4172065;596009.31;1329.85;189.98;1252.13;178.88;345.88;49.41;1642.84;234.69;1165.02;166.43;120.02;17.15;67.16;9.59;0.1;696;99.43;942.2;134.6;1052.6;150.37;951.91;135.99;1975.97;282.28;2041.3;291.61;886.58;126.65;1547.83;221.12;882.25;126.04;497.79;71.11;2654.21;2553.64;2752.7;3506.3;9;1.29;7;1
BLACK JACKETS;DM0;6;2;33.33;2402;400.33;6;1;0;0;14;2.33;12;2;82;13.67;18;3;6;1;50;401.65;50.12;16936;2822.67;10288;1714.67;6648;1108;132;22;481;80.17;2013;335.5;578;96.33;1435;239.17;8;1.33;107;17.83;243.07;40.51;188.67;31.44;2163;360.5;2019;336.5;254;42.33;1559.81;3854673;642445.5;1119.92;186.65;973.33;162.22;485.17;80.86;1416.92;236.15;1069.36;178.23;92.18;15.36;40.42;6.74;0.11;377;62.83;875.9;145.98;783.1;130.52;703.77;117.29;1874.67;312.45;1889.37;314.9;689.08;114.85;1438.93;239.82;792.74;132.12;346.77;57.79;2606.62;2483.41;2682.47;3419.75;8;1.33;9;1.5
TAG;Debo;3;0;0.00;680;226.67;0;0;2;0.67;4;1.33;6;2;37;12.33;16;5.33;4;1.33;0;488.4;47.62;8698;2899.33;6509;2169.67;2189;729.67;74;24.67;174;58;1225;408.33;657;219;568;189.33;8;2.67;45;15;173.38;57.79;98.52;32.84;1059;353;827;275.67;164;54.67;1616.98;1668436;556145.31;444.97;148.32;472.72;157.57;204.76;68.25;569.49;189.83;488.77;162.92;64.2;21.4;24.66;8.22;0.09;289;96.33;360;120;393.9;131.3;331.04;110.35;791.41;263.8;762.43;254.14;360.02;120.01;574.25;191.42;346.46;115.49;201.74;67.25;2991.11;2743.04;3204.77;3603.75;4;1.33;3;1
Etro & TheDeadmnTheory & tnk_knights;Etro;3;3;100.00;1048;349.33;2;0.67;2;0.67;3;1;5;1.67;12;4;2;0.67;1;0.33;40;395.75;46.22;7028;2342.67;4467;1489;2561;853.67;53;17.67;210;70;1772;590.67;1020;340;752;250.67;12;4;68;22.67;139.86;46.62;64;21.33;1125;375;841;280.33;184;61.33;1521.91;1493430;497810;454.94;151.65;437.73;145.91;134.56;44.85;574.75;191.58;393.64;131.21;58.84;19.61;17.06;5.69;0.08;206;68.67;385.8;128.6;275.7;91.9;237.86;79.29;789.37;263.12;613.72;204.57;413.52;137.84;422.68;140.89;356.6;118.87;247.96;82.65;2939.19;2771.45;3105.46;3777.22;1;0.33;6;2
BLACK JACKETS;FlaminSkvll;8;2;25.00;3453;431.62;5;0.62;4;0.5;20;2.5;25;3.12;107;13.38;27;3.38;9;1.12;20;338.3;48.71;18253;2281.62;9469;1183.62;8784;1098;128;16;670;83.75;3198;399.75;1217;152.12;1981;247.62;16;2;150;18.75;244.48;30.56;203.52;25.44;946;118.25;2291;286.38;212;26.5;1464.79;4532193;566524.12;1693;211.62;1269.04;158.63;327.9;40.99;1787.25;223.41;1322.69;165.34;179.99;22.5;75.91;9.49;0.11;681;85.12;1124.2;140.52;1031.2;128.9;923.75;115.47;2366.17;295.77;2377.94;297.24;911.97;114;1837.73;229.72;969.03;121.13;483.14;60.39;2600.15;2429.98;2735.57;3479.27;6;0.75;10;1.25
SEN;Galaxy4th;1;0;0.00;250;250;0;0;0;0;1;1;1;1;12;12;3;3;2;2;0;386;50.76;2077;2077;1241;1241;836;836;16;16;39;39;547;547;475;475;72;72;5;5;6;6;45.33;45.33;45.46;45.46;223;223;270;270;24;24;1526;510626;510626;146.12;146.12;144.01;144.01;53.43;53.43;175.77;175.77;139.84;139.84;27.94;27.94;5.92;5.92;0.16;38;38;94.4;94.4;127.9;127.9;106.79;106.79;236.76;236.76;254.09;254.09;89.46;89.46;206.41;206.41;83.48;83.48;53.66;53.66;2483;2138;2723;3254;2;2;1;1
NCN;Ghostyloves69;7;4;57.14;2005;286.43;4;0.57;3;0.43;5;0.71;20;2.86;38;5.43;11;1.57;2;0.29;20;375.34;52.9;15343;2191.86;10477;1496.71;4866;695.14;134;19.14;429;61.29;4002;571.71;1903;271.86;2099;299.86;24;3.43;177;25.29;202.8;28.97;329.64;47.09;1509;215.57;2846;406.57;373;53.29;1508.36;3472917;496131;1152.97;164.71;972.28;138.9;306.12;43.73;1466.22;209.46;872.93;124.7;92.2;13.17;29.86;4.27;0.11;266;38;739.5;105.64;786.8;112.4;663.46;94.78;1767.92;252.56;1377.63;196.8;1053.73;150.53;988.9;141.27;784.67;112.1;657.78;93.97;2782.35;2761.71;2790.9;3795.94;6;0.86;6;0.86
NCN;Glint;4;1;25.00;1110;277.5;3;0.75;3;0.75;1;0.25;9;2.25;32;8;9;2.25;4;1;33.33;351.16;49.63;8519;2129.75;5852;1463;2667;666.75;76;19;238;59.5;1606;401.5;855;213.75;751;187.75;12;3;67;16.75;171.1;42.78;141.39;35.35;1029;257.25;1797;449.25;359;89.75;1546.37;2086857;521714.25;612.19;153.05;624.7;156.18;192.34;48.08;801.85;200.46;576.63;144.16;50.76;12.69;33.11;8.28;0.11;302;75.5;471.4;117.85;521.8;130.45;482.36;120.59;946.88;236.72;898.32;224.58;530.91;132.73;660.78;165.19;432.54;108.14;335.92;83.98;3406.25;3247.15;3615.53;4023.37;1;0.25;3;0.75
AE;Jerry_Da_Man;3;0;0.00;703;234.33;0;0;1;0.33;5;1.67;5;1.67;21;7;6;2;1;0.33;0;390.11;48.55;6696;2232;4205;1401.67;2491;830.33;49;16.33;220;73.33;1050;350;348;116;702;234;4;1.33;62;20.67;112.68;37.56;80.69;26.9;712;237.33;645;215;20;6.67;1463.3;1388451;462817;484.19;161.4;399.6;133.2;106.15;35.38;601.7;200.57;350.12;116.71;38.12;12.71;19.93;6.64;0.11;184;61.33;395.2;131.73;304.1;101.37;262.29;87.43;727.65;242.55;644.34;214.78;345.61;115.2;481.12;160.37;312.31;104.1;196.5;65.5;3191.17;3055.64;3325.19;3847.89;3;1;2;0.67
TAG;JettScamm;6;0;0.00;2391;398.5;4;0.67;2;0.33;15;2.5;7;1.17;76;12.67;25;4.17;12;2;57.14;377.4;45.05;12640;2106.67;9310;1551.67;3330;555;102;17;299;49.83;1530;255;998;166.33;532;88.67;11;1.83;47;7.83;367.36;61.23;100.26;16.71;868;144.67;842;140.33;110;18.33;1506.08;2977029;496171.5;992.33;165.39;840.92;140.15;288.1;48.02;1134.02;189;912.34;152.06;74.95;12.49;53.98;9;0.09;580;96.67;752.7;125.45;635.6;105.93;603.74;100.62;1517.6;252.93;1566.25;261.04;555.09;92.52;1234.95;205.82;573.73;95.62;312.69;52.12;2738.67;2781.72;2707.13;3400.57;6;1;6;1
SEN;KIA_krio;8;5;62.50;2970;371.25;4;0.5;3;0.38;15;1.88;22;2.75;69;8.62;23;2.88;9;1.12;18.18;458.88;48.75;21512;2689;13484;1685.5;8028;1003.5;157;19.62;562;70.25;3226;403.25;1529;191.12;1697;212.12;18;2.25;117;14.62;526.52;65.81;115.71;14.46;3321;415.12;1855;231.88;275;34.38;1586.14;4228617;528577.12;1150.25;143.78;1145.71;143.21;522.37;65.3;1485.96;185.74;1207.55;150.94;124.86;15.61;66.33;8.29;0.08;878;109.75;960.9;120.11;823.4;102.93;715.49;89.44;2102.85;262.86;1995.8;249.47;822.56;102.82;1526.48;190.81;824.63;103.08;467.24;58.4;2531.79;2463.01;2566.52;3534.96;9;1.12;12;1.5
SEN;Krozex.;6;4;66.67;1515;252.5;3;0.5;3;0.5;9;1.5;11;1.83;57;9.5;18;3;7;1.17;27.27;345.03;46.14;11800;1966.67;6948;1158;4852;808.67;83;13.83;367;61.17;2404;400.67;987;164.5;1417;236.17;12;2;95;15.83;234;39;155.99;26;1297;216.17;1220;203.33;222;37;1493.03;3029969;504994.84;1030.53;171.76;889.51;148.25;225.13;37.52;1310.85;218.47;774.11;129.02;60.21;10.04;25.89;4.32;0.14;197;32.83;773.4;128.9;709.5;118.25;667.63;111.27;1477.53;246.26;1452.43;242.07;692.74;115.46;1086.66;181.11;681.56;113.59;376.95;62.83;3037.64;3082.94;2987.67;3612.05;6;1;9;1.5
ONYX;Nuggy_003;3;3;100.00;847;282.33;2;0.67;3;1;1;0.33;5;1.67;19;6.33;5;1.67;1;0.33;40;316.16;47.66;6447;2149;4318;1439.33;2129;709.67;54;18;186;62;1668;556;1048;349.33;620;206.67;13;4.33;54;18;77.64;25.88;127.52;42.51;94;31.33;779;259.67;124;41.33;1448.69;1489460;496486.66;595.62;198.54;414.61;138.2;109.49;36.5;733.48;244.49;349.86;116.62;36.38;12.13;16.78;5.59;0.12;138;46;384.5;128.17;351.5;117.17;289.58;96.53;830.14;276.71;714.16;238.05;405.57;135.19;522.22;174.07;363.78;121.26;233.73;77.91;3047.39;2957.03;3138.12;3694.49;5;1.67;3;1
TF;RReflexApex;8;6;75.00;3902;487.75;10;1.25;8;1;15;1.88;27;3.38;53;6.62;12;1.5;5;0.62;37.04;435.89;55.37;21396;2674.5;12657;1582.12;8739;1092.38;170;21.25;630;78.75;5730;716.25;2788;348.5;2942;367.75;34;4.25;216;27;258.22;32.28;291.85;36.48;2761;345.12;3642;455.25;669;83.62;1595.05;4450858;556357.25;1168.69;146.09;1319.5;164.94;471.5;58.94;1768.87;221.11;1036.23;129.53;154.59;19.32;41.54;5.19;0.09;453;56.62;1004.1;125.51;933.3;116.66;693.86;86.73;2265.82;283.23;1766.69;220.84;1192.97;149.12;1286.65;160.83;927.22;115.9;745.84;93.23;2521.29;2400.88;2671.3;3599.05;12;1.5;7;0.88
TF;ResilientFury;8;6;75.00;3652;456.5;12;1.5;9;1.12;6;0.75;35;4.38;53;6.62;12;1.5;3;0.38;34.29;411.95;50.59;19962;2495.25;11953;1494.12;8009;1001.12;144;18;708;88.5;4801;600.12;2329;291.12;2472;309;28;3.5;225;28.12;256.47;32.06;179.82;22.48;1990;248.75;1458;182.25;118;14.75;1570.04;4313745;539218.12;1278.07;159.76;1271.65;158.96;397.69;49.71;1770.2;221.27;1067.97;133.5;109.24;13.66;104.99;13.12;0.09;1197;149.62;1036.8;129.6;924.1;115.51;735.76;91.97;2211.64;276.45;1800.81;225.1;1146.53;143.32;1288.75;161.09;1000.8;125.1;657.86;82.23;3076.29;3057.38;3110.07;3707.39;13;1.62;11;1.38
