team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
LUTHREXI;PixelSkills;4;3;75.00;1511;377.75;4;1;3;0.75;4;1;13;3.25;29;7.25;7;1.75;0;0;30.77;448.01;47.2;12268;3067;8773;2193.25;3495;873.75;107;26.75;302;75.5;2665;666.25;1655;413.75;1010;252.5;20;5;90;22.5;236.62;59.16;103.58;25.9;839;209.75;850;212.5;121;30.25;1563.99;2415954;603988.5;699.62;174.9;696.01;174;233.2;58.3;884.66;221.17;654.7;163.68;89.47;22.37;30.35;7.59;0.13;236;59;527.1;131.77;570.5;142.62;477.68;119.42;1151.14;287.79;985.98;246.5;642.85;160.71;702.33;175.58;563.8;140.95;362.7;90.68;2999.49;2870.91;3116.71;3866.3;6;1.5;4;1
NECRO BLOODLUST;RaunchyRomanian;4;1;25.00;1588;397;3;0.75;1;0.25;8;2;8;2;40;10;11;2.75;7;1.75;37.5;376.8;46.87;9917;2479.25;6379;1594.75;3538;884.5;70;17.5;246;61.5;2630;657.5;1335;333.75;1295;323.75;14;3.5;82;20.5;191.55;47.89;129.1;32.28;1060;265;653;163.25;93;23.25;1452.62;2230061;557515.25;816.72;204.18;629.56;157.39;176.11;44.03;941.3;235.32;580;145;101.12;25.28;24.8;6.2;0.16;158;39.5;509;127.25;533.6;133.4;456.55;114.14;1165.85;291.46;1056.13;264.03;566.26;141.57;824.35;206.09;462.08;115.52;335.94;83.99;2738.44;2605.54;2851.6;3548.24;2;0.5;6;1.5
TF;ResilientFury;6;3;50.00;2172;362;7;1.17;2;0.33;7;1.17;16;2.67;45;7.5;16;2.67;4;0.67;43.75;401.59;44.95;13840;2306.67;8389;1398.17;5451;908.5;99;16.5;483;80.5;2480;413.33;1177;196.17;1303;217.17;14;2.33;115;19.17;232.85;38.81;104.35;17.39;1089;181.5;1264;210.67;86;14.33;1551.58;3081325;513554.16;942.74;157.12;912.14;152.02;279.73;46.62;1254.03;209.01;800.18;133.36;80.36;13.39;77.29;12.88;0.1;781;130.17;724.1;120.68;655.4;109.23;552.1;92.02;1582.5;263.75;1452.3;242.05;682.3;113.72;1100.46;183.41;640.04;106.67;394.08;65.68;2978.04;2958.94;2972.72;3686.41;6;1;11;1.83
HAVOC;Saku;7;6;85.71;2803;400.43;8;1.14;7;1;5;0.71;22;3.14;33;4.71;9;1.29;3;0.43;36.36;380.13;55.09;15761;2251.57;9992;1427.43;5769;824.14;128;18.29;483;69;3979;568.43;1949;278.43;2030;290;26;3.71;159;22.71;142.18;20.31;275.86;39.41;2958;422.57;2836;405.14;599;85.57;1520.75;3554404;507772;1158.06;165.44;1007.07;143.87;329.05;47.01;1508.08;215.44;871.1;124.44;114.99;16.43;54.42;7.77;0.11;482;68.86;767.7;109.67;733.5;104.79;623.09;89.01;1871.08;267.3;1572.31;224.62;921.87;131.7;1165.11;166.44;771.57;110.22;557.47;79.64;2735.47;2573.42;2914.08;3611.19;12;1.71;9;1.29
HAVOC;Shxdow00;4;3;75.00;1218;304.5;5;1.25;1;0.25;0;0;17;4.25;15;3.75;6;1.5;2;0.5;29.41;428.83;51.51;10091;2522.75;7537;1884.25;2554;638.5;95;23.75;215;53.75;2624;656;1725;431.25;899;224.75;22;5.5;77;19.25;165.56;41.39;182.04;45.51;1773;443.25;1796;449;443;110.75;1611.11;2207443;551860.75;605.53;151.38;553.08;138.27;301.1;75.28;843.49;210.87;542.47;135.62;73.76;18.44;32.27;8.07;0.11;289;72.25;451.4;112.85;507.5;126.87;425.33;106.33;1034.4;258.6;873.69;218.42;586.04;146.51;651.5;162.88;412.21;103.05;396.03;99.01;2949.72;2872.7;3044.14;3677.09;12;3;2;0.5
AE;Sky :D;3;3;100.00;1435;478.33;5;1.67;2;0.67;4;1.33;12;4;21;7;6;2;1;0.33;41.67;399.45;53.63;7280;2426.67;5495;1831.67;1785;595;65;21.67;159;53;1730;576.67;1121;373.67;609;203;13;4.33;55;18.33;69.73;23.24;107.43;35.81;286;95.33;769;256.33;210;70;1526.87;1513374;504458;500.88;166.96;412.77;137.59;152.47;50.82;595.86;198.62;408.86;136.29;61.41;20.47;28.84;9.61;0.1;303;101;313.1;104.37;348.2;116.07;304.08;101.36;762.04;254.01;691.42;230.47;374.7;124.9;513.97;171.32;328.71;109.57;223.42;74.47;2916.97;2777.44;3076.85;3817.84;4;1.33;3;1
BS;Solaraiz;3;0;0.00;655;218.33;1;0.33;1;0.33;2;0.67;7;2.33;24;8;14;4.67;5;1.67;14.29;384.59;50.2;7319;2439.67;5356;1785.33;1963;654.33;62;20.67;179;59.67;1312;437.33;786;262;526;175.33;8;2.67;47;15.67;164.43;54.81;91.18;30.39;675;225;917;305.67;12;4;1564.88;1587436;529145.31;454.93;151.64;494.28;164.76;143.34;47.78;570.66;190.22;457.04;152.35;64.85;21.62;9.72;3.24;0.12;78;26;290;96.67;421.4;140.47;367.4;122.47;725.14;241.71;703.43;234.48;389.11;129.7;508.36;169.45;354.83;118.28;229.36;76.45;3073.66;3080.77;3070.2;3713.33;3;1;1;0.33
SEN;Sym_14;4;1;25.00;1010;252.5;2;0.5;2;0.5;4;1;9;2.25;39;9.75;19;4.75;5;1.25;22.22;411.23;40.63;9708;2427;6353;1588.25;3355;838.75;73;18.25;294;73.5;2413;603.25;1279;319.75;1134;283.5;14;3.5;101;25.25;348.15;87.04;107.77;26.94;1656;414;831;207.75;139;34.75;1603.47;2223998;555999.5;613.76;153.44;640.67;160.17;244.4;61.1;818.81;204.7;620.79;155.2;59.23;14.81;23.84;5.96;0.08;317;79.25;410.2;102.55;548.5;137.12;534.58;133.64;964.25;241.06;913.78;228.44;585.02;146.26;677.19;169.3;461.04;115.26;360.59;90.15;2769.51;2627.88;2858.37;3419.12;5;1.25;2;0.5
SEN;TinyToast717;4;1;25.00;1684;421;7;1.75;1;0.25;4;1;13;3.25;39;9.75;19;4.75;3;0.75;53.85;374.81;39.4;8881;2220.25;5716;1429;3165;791.25;64;16;272;68;1718;429.5;607;151.75;1111;277.75;7;1.75;97;24.25;316.36;79.09;85.72;21.43;884;221;761;190.25;108;27;1505.37;2078796;519699;707.71;176.93;593.27;148.32;192.98;48.24;795.02;198.76;626.48;156.62;72.44;18.11;22.77;5.69;0.11;205;51.25;446.5;111.62;441.4;110.35;425.13;106.28;1068.81;267.2;954.51;238.63;539.45;134.86;706.32;176.58;469.89;117.47;317.75;79.44;2675.06;2456.28;2859.12;3414.3;5;1.25;5;1.25
ONYX;WIZ54041;2;0;0.00;676;338;2;1;0;0;3;1.5;2;1;18;9;8;4;1;0.5;100;329.15;49.35;3806;1903;2458;1229;1348;674;31;15.5;120;60;483;241.5;200;100;283;141.5;2;1;25;12.5;92.56;46.28;29.66;14.83;446;223;583;291.5;0;0;1580.8;1045593;522796.5;295.3;147.65;311.06;155.53;110.73;55.36;421.74;210.87;276.4;138.2;18.94;9.47;10.62;5.31;0.11;101;50.5;246.4;123.2;219;109.5;186.09;93.04;531;265.5;526.67;263.33;190.39;95.19;411.17;205.58;209.26;104.63;96.64;48.32;3125.69;3077.49;3148.75;3634.12;0;0;3;1.5
