team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
ABSOLUTE ZERO;B0T-AkakattackYT;8;3;37.50;3280;410;7;0.88;6;0.75;12;1.5;23;2.88;71;8.88;24;3;7;0.88;30.43;403.56;49.55;21784;2723;16990;2123.75;4794;599.25;202;25.25;419;52.38;3948;493.5;2410;301.25;1538;192.25;31;3.88;133;16.62;448.61;56.08;290.84;36.35;3105;388.12;3180;397.5;723;90.38;1439.75;4381459;547682.38;1636.44;204.56;1269.64;158.7;325.03;40.63;2138.65;267.33;991;123.88;101.47;12.68;65.46;8.18;0.14;491;61.38;852.4;106.55;1151.1;143.89;1003.59;125.45;2227.52;278.44;2090.79;261.35;1140.32;142.54;1558.61;194.83;1028.61;128.58;643.88;80.49;2580.04;2483.45;2636.22;3585.53;15;1.88;7;0.88
PHANTOM KINGS;B34N Chalupa;8;6;75.00;3716;464.5;12;1.5;10;1.25;14;1.75;22;2.75;68;8.5;19;2.38;5;0.62;54.55;325.66;49.52;16418;2052.25;10256;1282;6162;770.25;126;15.75;556;69.5;3693;461.62;1951;243.88;1742;217.75;25;3.12;155;19.38;226.98;28.37;284.97;35.62;675;84.38;2154;269.25;467;58.38;1530.05;4289907;536238.38;1366.44;170.81;1393.21;174.15;257.92;32.24;1858.67;232.33;1038.18;129.77;120.73;15.09;80.8;10.1;0.1;807;100.88;759;94.88;1020.5;127.56;869.53;108.69;2148.05;268.51;1917.3;239.66;1100.27;137.53;1378.02;172.25;976.76;122.1;662.79;82.85;3086;3000.33;3174.36;3930.79;7;0.88;9;1.12
PHANTOM KINGS;Eholt05;7;5;71.43;2009;287;5;0.71;2;0.29;8;1.14;12;1.71;65;9.29;17;2.43;4;0.57;41.67;410.31;46.24;17994;2570.57;13494;1927.71;4500;642.86;152;21.71;380;54.29;2759;394.14;1575;225;1184;169.14;18;2.57;99;14.14;542.45;77.49;182.99;26.14;2618;374;1821;260.14;241;34.43;1615.64;3938304;562614.88;997.29;142.47;1224.55;174.94;389.35;55.62;1489.71;212.82;1009.74;144.25;111.74;15.96;35.54;5.08;0.11;335;47.86;866.6;123.8;809.1;115.59;741.46;105.92;1869.73;267.1;1683.31;240.47;927.88;132.55;1271.13;181.59;824.69;117.81;515.37;73.62;3237.04;3230.6;3231.54;3889.31;11;1.57;9;1.29
PHANTOM KINGS;Flailium;1;1;100.00;613;613;3;3;2;2;0;0;5;5;3;3;2;2;1;1;60;421;48.33;2797;2797;2058;2058;739;739;24;24;60;60;449;449;164;164;285;285;3;3;20;20;84.03;84.03;23.55;23.55;431;431;360;360;147;147;1611;577987;577987;163.2;163.2;172.17;172.17;60.42;60.42;221.96;221.96;151.18;151.18;22.64;22.64;7.62;7.62;0.1;78;78;101.1;101.1;141.3;141.3;101.5;101.5;294.28;294.28;232.41;232.41;163.38;163.38;158.16;158.16;136.29;136.29;101.34;101.34;3022;2999;3038;4002;0;0;0;0
ICE TITANS;Frsher;5;3;60.00;1990;398;4;0.8;6;1.2;6;1.2;14;2.8;36;7.2;12;2.4;4;0.8;28.57;386.19;47.8;12293;2458.6;8162;1632.4;4131;826.2;95;19;346;69.2;2747;549.4;1680;336;1067;213.4;18;3.6;92;18.4;341.02;68.2;152.71;30.54;1348;269.6;1065;213;128;25.6;1486.94;2816371;563274.19;1007.84;201.57;727.46;145.49;274.92;54.98;1087.73;217.55;819.34;163.87;103.14;20.63;51.08;10.22;0.1;508;101.6;654;130.8;613.6;122.72;538.69;107.74;1471.52;294.3;1280.98;256.2;729.23;145.85;928.37;185.67;663.95;132.79;417.89;83.58;2901.5;2823.01;3001.84;3796.52;7;1.4;4;0.8
PHANTOM KINGS;HOODIEEEEE.;8;6;75.00;3536;442;11;1.38;9;1.12;7;0.88;27;3.38;68;8.5;19;2.38;9;1.12;40.74;467.65;46.8;23742;2967.75;18306;2288.25;5436;679.5;213;26.62;456;57;3210;401.25;1693;211.62;1517;189.62;21;2.62;121;15.12;382.02;47.75;337.73;42.22;7113;889.12;2727;340.88;300;37.5;1674.63;4680945;585118.12;1128.16;141.02;1201.67;150.21;679.15;84.89;1973.52;246.69;932.46;116.56;102.99;12.87;62.31;7.79;0.11;563;70.38;1157.9;144.74;864.7;108.09;727.41;90.93;2281.56;285.2;2061.14;257.64;947.83;118.48;1582.06;197.76;886.76;110.85;540.15;67.52;3233.51;3148.46;3310.7;3987.03;18;2.25;10;1.25
NECRODEATHKNIGHT;JTclipz;4;3;75.00;2227;556.75;4;1;7;1.75;9;2.25;17;4.25;36;9;7;1.75;4;1;23.53;407.61;52.27;10442;2610.5;8239;2059.75;2203;550.75;107;26.75;199;49.75;2218;554.5;1438;359.5;780;195;19;4.75;66;16.5;176.08;44.02;267.35;66.84;1082;270.5;2486;621.5;501;125.25;1577.67;2348510;587127.5;629.23;157.31;715.52;178.88;234.15;58.54;900.64;225.16;607.55;151.89;70.74;17.68;15.67;3.92;0.11;145;36.25;457.3;114.33;529.5;132.38;431.47;107.87;1147.45;286.86;978.01;244.5;600.92;150.23;728.98;182.24;485.08;121.27;364.85;91.21;2985.11;2838.07;3113.17;3827.39;7;1.75;1;0.25
TRINITY;Jermaine Cole 0;3;0;0.00;1107;369;3;1;2;0.67;2;0.67;8;2.67;22;7.33;13;4.33;6;2;37.5;472.68;46.13;8038;2679.33;5706;1902;2332;777.33;62;20.67;209;69.67;946;315.33;451;150.33;495;165;5;1.67;44;14.67;172.38;57.46;101.42;33.81;1451;483.67;529;176.33;51;17;1635.5;1608153;536051;437.24;145.75;401.09;133.7;227.33;75.78;587.11;195.7;423.58;141.19;54.97;18.32;21.23;7.08;0.1;215;71.67;438.8;146.27;290.9;96.97;292.63;97.54;773.05;257.68;781.19;260.4;284.49;94.83;606.57;202.19;299.14;99.71;159.96;53.32;2866.15;2748.46;2976.3;3675.43;4;1.33;9;3
TRINITY;Kanashimi;2;0;0.00;384;192;1;0.5;1;0.5;1;0.5;4;2;13;6.5;9;4.5;1;0.5;25;461.18;45.1;4726;2363;3618;1809;1108;554;40;20;98;49;861;430.5;499;249.5;362;181;5;2.5;32;16;113.96;56.98;40.49;20.24;837;418.5;397;198.5;0;0;1672.22;953880;476940;240.91;120.46;262.23;131.12;131.95;65.97;363.26;181.63;258.58;129.29;13.26;6.63;10.31;5.15;0.08;127;63.5;178.6;89.3;221.8;110.9;210.82;105.41;424.28;212.14;435.7;217.85;199.4;99.7;336.13;168.07;184.16;92.08;114.81;57.4;3020.98;2774.72;3305.13;3635.57;2;1;1;0.5
ICE TITANS;Klanahan;5;3;60.00;2427;485.4;8;1.6;1;0.2;10;2;13;2.6;36;7.2;12;2.4;4;0.8;61.54;458.44;47.8;15079;3015.8;11277;2255.4;3802;760.4;135;27;347;69.4;2203;440.6;1265;253;938;187.6;15;3;87;17.4;266.21;53.24;193.78;38.76;2210;442;2180;436;238;47.6;1601.51;3014641;602928.19;801.91;160.38;861.02;172.2;334.62;66.92;1162.78;232.56;720.58;144.12;114.17;22.83;32.97;6.59;0.12;287;57.4;718.1;143.62;570;114;489.09;97.82;1508.45;301.69;1298.47;259.69;699.06;139.81;947.7;189.54;652.07;130.41;397.78;79.56;2963.26;2838.52;3116.37;3830.23;5;1;7;1.4
TRINITY;MaulerG;1;0;0.00;177;177;0;0;0;0;1;1;2;2;9;9;4;4;1;1;0;337;51.44;2044;2044;1308;1308;736;736;15;15;68;68;160;160;0;0;160;160;0;0;14;14;53.19;53.19;29.3;29.3;185;185;232;232;3;3;1564;519080;519080;149.79;149.79;159.77;159.77;44.95;44.95;226.28;226.28;125.69;125.69;2.53;2.53;8.4;8.4;0.1;86;86;135;135;106.5;106.5;94.97;94.97;259.54;259.54;248.16;248.16;106.35;106.35;187.79;187.79;107.76;107.76;58.95;58.95;2994;2827;3172;3555;0;0;0;0
ABSOLUTE ZERO;OfficialThreeC;6;2;33.33;1421;236.83;3;0.5;2;0.33;2;0.33;14;2.33;52;8.67;19;3.17;3;0.5;21.43;294.01;51.34;11712;1952;7714;1285.67;3998;666.33;97;16.17;353;58.83;2509;418.17;1604;267.33;905;150.83;22;3.67;81;13.5;211.38;35.23;393.82;65.64;959;159.83;2043;340.5;597;99.5;1476.8;3271234;545205.69;1237.58;206.26;898.45;149.74;218.8;36.47;1536.21;256.04;724;120.67;94.63;15.77;53.83;8.97;0.1;538;89.67;772.7;128.78;752.4;125.4;750.86;125.14;1603.97;267.33;1642.21;273.7;712.59;118.76;1189.11;198.19;777.08;129.51;388.63;64.77;3160.14;3144.84;3169.85;3642.83;3;0.5;6;1
NEED BOOST;Phoenixfire_rl07;5;2;40.00;1985;397;5;1;4;0.8;8;1.6;13;2.6;44;8.8;18;3.6;8;1.6;38.46;432.61;48.34;13324;2664.8;9347;1869.4;3977;795.4;112;22.4;361;72.2;1472;294.4;635;127;837;167.4;8;1.6;75;15;224.15;44.83;255.87;51.17;2952;590.4;1995;399;175;35;1660.46;2971553;594310.62;704.73;140.95;840.88;168.18;373.85;74.77;1187.91;237.58;661.01;132.2;70.55;14.11;36.02;7.2;0.07;499;99.8;726.6;145.32;519.8;103.96;492.38;98.48;1427.09;285.42;1345.93;269.19;573.55;114.71;1029.92;205.98;572.41;114.48;317.14;63.43;3145.45;3020.65;3286.97;3862.88;8;1.6;9;1.8
