team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
BTM;2026 Tigerr;2;0;0.00;823;411.5;3;1.5;1;0.5;3;1.5;5;2.5;17;8.5;7;3.5;0;0;60;339;55.54;4052;2026;2702;1351;1350;675;31;15.5;122;61;445;222.5;226;113;219;109.5;3;1.5;21;10.5;42.75;21.38;92.9;46.45;169;84.5;484;242;88;44;1508.54;997723;498861.5;345.78;172.89;305.39;152.7;62.16;31.08;450.56;225.28;235.37;117.68;27.38;13.69;9.67;4.84;0.08;135;67.5;193.8;96.9;221.6;110.8;176.92;88.46;536.39;268.2;517.5;258.75;195.82;97.91;379.81;189.9;241.98;120.99;91.54;45.77;2939.49;2978.01;2873.29;3388.48;4;2;2;1
BTM;Aku-_-Aku;2;0;0.00;782;391;2;1;1;0.5;3;1.5;6;3;17;8.5;7;3.5;4;2;33.33;327.96;53.19;3934;1967;2748;1374;1186;593;33;16.5;110;55;544;272;237;118.5;307;153.5;3;1.5;29;14.5;56.05;28.02;88.65;44.32;199;99.5;537;268.5;82;41;1387.78;909518;454759;398.13;199.07;250.35;125.18;60.48;30.24;451.91;225.96;229.17;114.58;27.88;13.94;21.4;10.7;0.11;206;103;270.8;135.4;199.9;99.95;164.57;82.29;544.38;272.19;515.7;257.85;193.25;96.62;396.66;198.33;202.03;101.01;110.26;55.13;2756.44;2544.87;2953.5;3426.36;0;0;3;1.5
PHANTOM KINGS;B34N Chalupa;6;5;83.33;2108;351.33;5;0.83;3;0.5;8;1.33;15;2.5;40;6.67;11;1.83;4;0.67;33.33;321.29;45.12;10749;1791.5;6638;1106.33;4111;685.17;79;13.17;367;61.17;2309;384.83;1017;169.5;1292;215.33;11;1.83;113;18.83;344.7;57.45;162.09;27.01;729;121.5;1190;198.33;105;17.5;1535.6;3006757;501126.16;908.43;151.4;975.16;162.53;193.14;32.19;1225.21;204.2;756.41;126.07;95.12;15.85;40.59;6.76;0.1;417;69.5;589.8;98.3;739.8;123.3;613.86;102.31;1462.87;243.81;1249.3;208.22;827.46;137.91;922.35;153.73;647.98;108;506.4;84.4;3057.93;2910.66;3236.38;3825.39;3;0.5;7;1.17
VOIDBORN;Chief;4;3;75.00;2100;525;7;1.75;3;0.75;6;1.5;16;4;28;7;9;2.25;1;0.25;43.75;491.58;54.61;11506;2876.5;8516;2129;2990;747.5;105;26.25;271;67.75;2187;546.75;1367;341.75;820;205;17;4.25;73;18.25;187.58;46.9;88.78;22.19;1970;492.5;1872;468;325;81.25;1644.09;2252042;563010.5;565.02;141.26;576.89;144.22;325.26;81.32;787.94;196.99;618.65;154.66;60.59;15.15;38.34;9.59;0.1;369;92.25;484;121;436.5;109.12;333.75;83.44;1133.43;283.36;951.93;237.98;515.24;128.81;701.28;175.32;446.42;111.6;319.46;79.86;2984.71;2969.64;3007.21;3709.8;5;1.25;2;0.5
P P;CumaKazi;8;2;25.00;2936;367;8;1;3;0.38;10;1.25;23;2.88;66;8.25;26;3.25;12;1.5;34.78;337.45;51.84;16383;2047.88;12061;1507.62;4322;540.25;157;19.62;382;47.75;2000;250;981;122.62;1019;127.38;12;1.5;89;11.12;259.62;32.45;398.19;49.77;2970;371.25;3530;441.25;237;29.62;1472.9;3888384;486048;1363.53;170.44;1175.81;146.98;281.42;35.18;1738.82;217.35;963.09;120.39;118.86;14.86;25.1;3.14;0.16;156;19.5;1107.1;138.39;781.7;97.71;740.01;92.5;2080.74;260.09;2048.77;256.1;771.99;96.5;1590.38;198.8;805.75;100.72;424.66;53.08;3164.29;3109.81;3231.03;3848.46;1;0.12;11;1.38
PHANTOM KINGS;Eholt05;2;1;50.00;371;185.5;0;0;0;0;3;1.5;0;0;13;6.5;4;2;2;1;0;365.73;46.65;4204;2102;3200;1600;1004;502;38;19;90;45;363;181.5;154;77;209;104.5;2;1;18;9;104.67;52.33;53.73;26.87;452;226;576;288;45;22.5;1549.42;953209;476604.5;318.32;159.16;264.39;132.2;96.57;48.28;385.72;192.86;266.18;133.09;27.39;13.69;11.49;5.74;0.11;101;50.5;234;117;179.5;89.75;192.18;96.09;487.1;243.55;477.03;238.51;202.25;101.12;361.25;180.62;202.57;101.29;115.46;57.73;2957.78;2761.47;3226.59;3629.07;1;0.5;3;1.5
TPA;EliasRoses;9;4;44.44;2502;278;8;0.89;2;0.22;6;0.67;23;2.56;59;6.56;19;2.11;6;0.67;34.78;358.9;43.84;19072;2119.11;11129;1236.56;7943;882.56;128;14.22;706;78.44;4322;480.22;2062;229.11;2260;251.11;23;2.56;202;22.44;356.33;39.59;172.63;19.18;1697;188.56;1644;182.67;211;23.44;1416.85;4357406;484156.22;1781.44;197.94;1134.64;126.07;337.74;37.53;2058.61;228.73;1067.28;118.59;127.92;14.21;102.48;11.39;0.15;682;75.78;1033.7;114.86;1069.3;118.81;976.93;108.55;2276.9;252.99;2100.77;233.42;1153.1;128.12;1505.26;167.25;1077.66;119.74;670.91;74.55;3202.9;3203.05;3202.13;4021.39;9;1;13;1.44
PHANTOM KINGS;Flailium;4;4;100.00;2027;506.75;5;1.25;4;1;9;2.25;15;3.75;27;6.75;7;1.75;3;0.75;33.33;436.82;48.97;9994;2498.5;7625;1906.25;2369;592.25;89;22.25;218;54.5;2163;540.75;1287;321.75;876;219;14;3.5;78;19.5;239.59;59.9;79.75;19.94;1245;311.25;1070;267.5;116;29;1585.95;2080915;520228.75;565.96;141.49;643.35;160.84;188.3;47.08;810.26;202.57;520.61;130.15;66.73;16.68;29.36;7.34;0.09;316;79;452.2;113.05;421.3;105.32;350.86;87.71;1046.75;261.69;881.16;220.29;516.46;129.12;655.98;163.99;422.93;105.73;318.68;79.67;2886.65;2709.38;3098.79;3789.87;1;0.25;4;1
TPA;Freaki.;9;4;44.44;3145;349.44;5;0.56;8;0.89;10;1.11;26;2.89;59;6.56;19;2.11;6;0.67;19.23;373.28;52.02;20869;2318.78;15795;1755;5074;563.78;200;22.22;446;49.56;4330;481.11;2892;321.33;1438;159.78;36;4;122;13.56;318.19;35.35;454.37;50.49;2590;287.78;4290;476.67;732;81.33;1502.11;4601983;511331.44;1594.97;177.22;1254.97;139.44;392.08;43.56;1943.76;215.97;1155.56;128.4;142.74;15.86;88.1;9.79;0.13;698;77.56;1043;115.89;1067.6;118.62;992.78;110.31;2249.27;249.92;2099.89;233.32;1142.09;126.9;1532.97;170.33;1060.76;117.86;648.27;72.03;3371.51;3285.26;3445.9;4097.68;8;0.89;15;1.67
ICE TITANS;Frsher;4;3;75.00;1457;364.25;2;0.5;1;0.25;7;1.75;9;2.25;34;8.5;8;2;2;0.5;22.22;368.63;49.68;9452;2363;6721;1680.25;2731;682.75;76;19;241;60.25;2100;525;1419;354.75;681;170.25;15;3.75;59;14.75;228.87;57.22;144.85;36.21;756;189;768;192;83;20.75;1450.67;2065655;516413.75;799.79;199.95;533.97;133.49;206.21;51.55;875.12;218.78;580.01;145;84.83;21.21;29.77;7.44;0.1;305;76.25;563.1;140.77;440;110;396.69;99.17;1143.29;285.82;1035.02;258.75;504.88;126.22;774.4;193.6;471.11;117.78;294.47;73.62;3240.77;3123.25;3346.99;3826.03;11;2.75;2;0.5
