team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
ABSOLUTE ZERO;B0T-AkakattackYT;6;4;66.67;2739;456.5;9;1.5;5;0.83;7;1.17;29;4.83;41;6.83;21;3.5;9;1.5;31.03;419.87;46.27;14751;2458.5;11586;1931;3165;527.5;132;22;280;46.67;3047;507.83;2054;342.33;993;165.5;23;3.83;89;14.83;271.52;45.25;153.73;25.62;2682;447;1641;273.5;248;41.33;1481;2976223;496037.16;1068.27;178.04;873.2;145.53;242.6;40.43;1403.91;233.99;698.95;116.49;81.18;13.53;53.86;8.98;0.16;349;58.17;516;86;853.7;142.28;715.86;119.31;1468.19;244.7;1303.05;217.18;880.97;146.83;938.21;156.37;698.5;116.42;547.34;91.22;2588.51;2476.83;2680.18;3673.45;7;1.17;5;0.83
PHANTOM KINGS;B34N Chalupa;7;4;57.14;2317;331;4;0.57;6;0.86;9;1.29;12;1.71;47;6.71;16;2.29;5;0.71;33.33;317.25;48.73;12594;1799.14;7820;1117.14;4774;682;96;13.71;415;59.29;3150;450;1750;250;1400;200;23;3.29;122;17.43;268.97;38.42;197.3;28.19;702;100.29;1851;264.43;550;78.57;1505.7;3442066;491723.72;1161.02;165.86;1042.01;148.86;228.49;32.64;1435.92;205.13;913.4;130.49;82.2;11.74;62.11;8.87;0.1;610;87.14;675.2;96.46;831.3;118.76;730.64;104.38;1700.85;242.98;1518.21;216.89;913.25;130.46;1047.78;149.68;840.14;120.02;543.59;77.66;2990.1;3009.01;2964.88;3805.82;4;0.57;3;0.43
AKG;CantRankFlowKain;6;5;83.33;2214;369;7;1.17;4;0.67;7;1.17;13;2.17;28;4.67;8;1.33;4;0.67;53.85;390.54;48.09;13343;2223.83;9696;1616;3647;607.83;117;19.5;298;49.67;2955;492.5;1779;296.5;1176;196;21;3.5;89;14.83;243.95;40.66;244.43;40.74;1247;207.83;1556;259.33;279;46.5;1547.01;3045591;507598.5;946.37;157.73;908.43;151.4;237.08;39.51;1319.08;219.85;678.85;113.14;93.95;15.66;46.11;7.68;0.14;340;56.67;730.4;121.73;704.9;117.48;540.1;90.02;1551.8;258.63;1315.43;219.24;776.48;129.41;924.59;154.1;727.05;121.17;440.25;73.38;3088.8;3015.93;3179.8;3818.47;4;0.67;4;0.67
VOID BORN;Chief;7;4;57.14;2329;332.71;5;0.71;4;0.57;7;1;18;2.57;37;5.29;11;1.57;3;0.43;27.78;479.72;52.03;18603;2657.57;13999;1999.86;4604;657.71;166;23.71;415;59.29;4119;588.43;2624;374.86;1495;213.57;30;4.29;134;19.14;370.15;52.88;148.33;21.19;3053;436.14;2680;382.86;409;58.43;1666.59;3755053;536436.12;859.22;122.75;976.39;139.48;542.43;77.49;1198.43;171.2;1069.63;152.8;109.98;15.71;63.07;9.01;0.11;574;82;729.7;104.24;856.7;122.39;642.72;91.82;1735.33;247.9;1434.04;204.86;943.99;134.86;1055.92;150.85;728.75;104.11;593.38;84.77;3023.07;2823.85;3239.59;3923.39;4;0.57;9;1.29
POND POUNDERS;CumaKazi;5;0;0.00;1363;272.6;4;0.8;1;0.2;4;0.8;7;1.4;35;7;16;3.2;6;1.2;57.14;336.97;51.58;10071;2014.2;6680;1336;3391;678.2;81;16.2;296;59.2;2091;418.2;1205;241;886;177.2;15;3;72;14.4;154.69;30.94;188.84;37.77;2126;425.2;1417;283.4;293;58.6;1470.62;2398963;479792.59;835.93;167.19;731;146.2;172.95;34.59;1138.64;227.73;560.92;112.18;40.32;8.06;19.91;3.98;0.17;115;23;640.8;128.16;463.6;92.72;462.05;92.41;1277.82;255.56;1234.31;246.86;505.57;101.11;938.66;187.73;523.02;104.6;278.2;55.64;3224.15;3196.03;3240.07;3679.49;2;0.4;10;2
PHANTOM KINGS;Eholt05;4;3;75.00;1394;348.5;5;1.25;0;0;4;1;11;2.75;24;6;9;2.25;5;1.25;45.45;392.26;47.72;9482;2370.5;7208;1802;2274;568.5;82;20.5;196;49;2256;564;1402;350.5;854;213.5;16;4;69;17.25;256.6;64.15;109.98;27.49;1307;326.75;1003;250.75;172;43;1598.01;2091097;522774.25;558.97;139.74;622.49;155.62;216.04;54.01;814.21;203.55;521.32;130.33;61.95;15.49;15.1;3.78;0.1;146;36.5;449.2;112.3;464.7;116.18;432.56;108.14;964.92;241.23;823.29;205.82;574.19;143.55;620.87;155.22;404.97;101.24;371.66;92.91;2984.09;2970.99;2990.33;3816.15;3;0.75;5;1.25
TP ACADEMY;EliasRoses;5;0;0.00;1083;216.6;0;0;1;0.2;6;1.2;10;2;44;8.8;14;2.8;8;1.6;0;384.5;39.72;10649;2129.8;6842;1368.4;3807;761.4;76;15.2;331;66.2;2675;535;1626;325.2;1049;209.8;18;3.6;92;18.4;323.2;64.64;89.33;17.87;1366;273.2;692;138.4;179;35.8;1493.04;2408825;481765;847.73;169.55;638.79;127.76;221.58;44.32;997.79;199.56;659.99;132;50.37;10.07;48.1;9.62;0.15;318;63.6;460.3;92.06;600.4;120.08;558.84;111.77;1149.28;229.86;1130.05;226.01;578.06;115.61;868.85;173.77;506.39;101.28;332.88;66.58;2996.22;2976.89;3010.01;3756.3;7;1.4;6;1.2
PHANTOM KINGS;Flailium;7;4;57.14;2423;346.14;6;0.86;3;0.43;9;1.29;17;2.43;47;6.71;16;2.29;4;0.57;35.29;388.17;45.88;15431;2204.43;11019;1574.14;4412;630.29;127;18.14;368;52.57;2331;333;1071;153;1260;180;13;1.86;88;12.57;455.43;65.06;168.54;24.08;1889;269.86;1596;228;227;32.43;1549.76;3537996;505428;1055.06;150.72;1069.52;152.79;305.74;43.68;1411.43;201.63;894.72;127.82;124.17;17.74;42.87;6.12;0.1;444;63.43;841.4;120.2;690;98.57;660.15;94.31;1770.15;252.88;1611.38;230.2;818.92;116.99;1171.58;167.37;801.82;114.55;456.9;65.27;2913.61;2824.26;3042.6;3779.76;4;0.57;4;0.57
TP ACADEMY;FrostyJaxk;3;0;0.00;532;177.33;1;0.33;1;0.33;2;0.67;2;0.67;31;10.33;8;2.67;1;0.33;50;298.78;32.87;4899;1633;2717;905.67;2182;727.33;31;10.33;187;62.33;782;260.67;296;98.67;486;162;3;1;41;13.67;195.21;65.07;76.39;25.46;390;130;390;130;3;1;1328.47;1294327;431442.34;608.76;202.92;354.63;118.21;64.61;21.54;608.87;202.96;384.76;128.25;34.36;11.45;22.21;7.4;0.09;240;80;414.4;138.13;290.6;96.87;280.8;93.6;747.21;249.07;744.09;248.03;283.91;94.64;573.38;191.13;296.95;98.98;157.67;52.56;3081.79;3279.26;2934.75;3713.69;1;0.33;2;0.67
ICE TITANS;Frsher;7;6;85.71;2173;310.43;6;0.86;5;0.71;6;0.86;21;3;37;5.29;10;1.43;3;0.43;28.57;407.28;51.13;15943;2277.57;10926;1560.86;5017;716.71;128;18.29;444;63.43;2601;371.57;1010;144.29;1591;227.29;13;1.86;146;20.86;309.32;44.19;251.19;35.88;1666;238;1849;264.14;265;37.86;1563.64;3569079;509868.44;1082.08;154.58;928.98;132.71;415.87;59.41;1325.7;189.39;980.04;140.01;121.2;17.31;55.34;7.91;0.09;594;84.86;850;121.43;709.5;101.36;602.78;86.11;1824.14;260.59;1629.18;232.74;797.73;113.96;1199.92;171.42;744.51;106.36;482.51;68.93;3102.05;3086.64;3125.56;3766.73;13;1.86;3;0.43
